ID,Text,Sub-task A,Sub-task B,Label
C36.959,"नमस्कार गुरु जी ,  
संविधान के समानता के अधिकार हम सब नागरिकों को उपलब्ध कराता है और मेरी नजर से
यही सबसे बड़ा कारण रहेगा कि लैसबियन एंड गैयज समस्त प्रकार के व्यक्तियों को देश
की सेवा में शामिल करना चाहिए अगर उनकी इच्छा है तो  
और रही बात आर्मी वायु और जल सेना के नियम फोटो 5 एंड 4 6 पिक तो उन में परिवर्तन
संसद के द्वारा हो जाएगा अब रही बात हमारे सेना अध्यक्ष जनरल बिपिन रावत सांब की
की तो वह भी इस बात को स्वीकार कर लेंगे क्योंकि संविधान संविधान की अवहेलना नहीं
की जा सकती है क्योंकि संविधान से बढ़कर और सुप्रीम कोर्ट के निर्णय से ऊपर किसी
का निर्णय नहीं हो सकता है .",NAG,NGEN,0
C7.618,Sir aap ne ek dam thik bole..ye log flim hi Nahi samjhe,NAG,NGEN,0
C32.98.4,Top ke mtlb,NAG,NGEN,0
C4.1043,Brother aap ne sach bola ekdm movies ko leke aapke or mere views same h ekdm,NAG,NGEN,0
C36.1156,सोच के ही डर लगता है।,NAG,NGEN,0
C32.84,Love to love hai boss,NAG,NGEN,0
C59.1756,Thik bole ho bhai bekar hi ranu bhai,NAG,NGEN,0
C61.1657,Innova Faridabad tomorrow mein Kamini Halkat,NAG,NGEN,0
C7.2461.1,"Lagta hai aapki Hindi kamjor hai... Video dobara dekhiye shayad is bar aap
samajh pao hamare video Ko 🙏",NAG,NGEN,0
C7.73.3,"@Pratik Borade drink karna ya cigarette pina koi buri baat nahi hai par ladki
pe haat uthana hota hain buri baat woh bhi bina wajay se",NAG,NGEN,0
C4.282,"Movie to Dekhi hi nhi .  
Movie ki ringtone Sahi hai bus😂😂  
वड़ा वड़ा वड़ा वड़ा वड़ा वड़ा वड़ा वड़ा -पाव",NAG,NGEN,0
C20.355.1,"abhijit desai tu bhai ja na film dekh, idhr review dekhne kyun aaya?",NAG,NGEN,0
C59.643,"Are Bhai Bhai Bhai Bhai Bhai Bhai 😃😃😃😃😃😃 log kaise change ho jate hai paise
ane ke baad",NAG,NGEN,0
C36.987,Video dekhte dekhte black out ho gya mujhe,NAG,NGEN,0
C4.929,"Bhai mujhe bhi bhot bekaar lga tha... Pr mujhe lga ki aap aake movie ko
justify kroge... Kyunki sb taarif kr rhe the...",NAG,NGEN,0
C7.1678,Har koi ek jaisa nhi hota h ☺,NAG,NGEN,0
C4.1136,Aur launde kya hal chal,NAG,NGEN,0
C33.195,Hhheee ey kya ho raha hai....ccc,NAG,NGEN,0
C7.778,Superb bhai,NAG,NGEN,0
C7.1867,bai gym join karlo kuj body bnna lo,NAG,NGEN,0
C59.1258,Bohat Hard 😛 bro,NAG,NGEN,0
C7.1988,spoiler diya hai yeh to batate bhai....,NAG,NGEN,0
C33.135,"Bhat Acha laga gay lesbian hota Koi pap nehi gay hoke shadi Karna ek larki ki
life barbaad kana ek pap he ur lesbian hoke shadi Karna ek ladka life barbaad
karna pap he.. Life apni he apne tarike se khul ke jio ghut ghut ke nehi..",NAG,NGEN,0
C4.1330,Mujhe bhi JHAND movie lagi bhai,NAG,NGEN,0
C21.186,"प्रतीक भाई आप ही अकेले भारत के पहले फिल्म रिव्यु देने वाले हो जिसके वीडियो से
लोगों को सिर्फ फिल्म रिव्यु ही नहीं बल्कि जीवन में कुछ सीखने मिलता है । इसके
लिए आपको शुभकामनाएं देता हूँ ।",NAG,NGEN,0
C4.173,"Hahahahhahahaaa.. ullu ke pattho waali industry bollywood 🤣🤣🤣🤣🤣✋👌👌👌 kya sach
mast baat kardi bro",NAG,NGEN,0
C4.1477,"Bhai bs ek galti kr di tune...  
Ispe video bahut phle ban na tha",NAG,NGEN,0
C25.502,"😖😞 Sir meri family me bhi wife husband Ko suside kerne ki dhamki 25 laks
vasulne ki dhamki, 498a me fasane ki dhamki deti he, 😞😞 ,.......... Sir meri
ye request he ki ager 498a ka missuse ya other dowery case ka missuse hone per
, Misuse kerne wale Ko 1month to 1 year ki jail ya 1 to 5 lakh ka jurmana hona
chahiye or Vakil Ko instructions diye jaye ki next time ESA hone per usko
jurmana Dena hOAG. 😖😖😞",NAG,NGEN,0
C4.1860,Meri jindegi me thodi sudhar ayi hai... to wo sirf Swetabh ke wajah se...,NAG,NGEN,0
C36.805,DBA ke homosex kijiye aur desh ki Sava kijiye.,NAG,NGEN,0
C7.2467.1,@Aggressive Squad are mai dekh chuka hun usko,NAG,NGEN,0
C7.2177,Bhai lekin actors ke performances ke baare mein kuch bola nahi aapne?,NAG,NGEN,0
C36.752.2,Alexander khaki haath aaya aur khaki haath gaya .,NAG,NGEN,0
C4.745,Bolte To Bhai Acha Ho❤Lkin Kitnaaa Bolta Hai Bhai Tuuu😨,NAG,NGEN,0
C7.663,Aapne sahi bola Pratik vai,NAG,NGEN,0
C7.1446,"Kabir Singh is top class film, entertainment at its best. Vaise shahid se
jyada vijay impressive laga tha mujhe.",NAG,NGEN,0
C7.2146,Or sab thik hai ...bhai T-shirt 😂😂😍,NAG,NGEN,0
C4.1141.3,aare didi meine to trailer bhi nahi dekha,NAG,NGEN,0
C4.268,Bilkul sahi kha shwetab bhai ❣️,NAG,NGEN,0
C9.259.1,Wo uski purani aadat hai..,NAG,NGEN,0
C29.6,jay shree ram,NAG,NGEN,0
C4.1851.2,@Hrdk Parmar ha dekha yara,NAG,NGEN,0
C4.2069.4,Bhai ye Tiktok kya hota hai..,NAG,NGEN,0
C4.1366,"Bhai movie dekhte hi same to same rxn tha ki agr real lyf me koi ye sb kre to
wo ek no. Ka ch***ia lgega na ki true love lgega😂😂",NAG,NGEN,0
C4.1602,bhai Shadi mein Jaroor aana movie ka review kro plss,NAG,NGEN,0
C26.270.5,#NAME?,NAG,NGEN,0
C7.2217,Mast film hai,NAG,NGEN,0
C7.1216,Tujhe aurat ne hi janm diya he naa??,CAG,GEN,1
C9.311.3,"भगत सिंह leftest नही थे। Leftist जान नहीं देता। उसका काम सिर्फ़ आग लगाना है।
Leftestest धारा के उल्टे चलते हैं। विचारों में वे ना मर्द होते हैं ना औरतें।
ये लोग third gender होते हैं। मौका देख कर के पाला बदलते हैं।",CAG,GEN,1
C7.1023,Jali jali re jali jali 1.1k feminists ki fir se gand jali,CAG,GEN,1
C7.701,"Pratek bhai Dil jeet liya aap ne...yr Jbrdst thoka h lib and feminist ko salon
ko...jb tk ese zinda rhenge ye society kharab hoti rhegi",CAG,GEN,1
C36.443,"Homosexual allow nhi hona chahie qki.,..qki agar dusman desh ka army hamare
desh ke homosexual army ko pasand aa gya to wo pyar ke lie desh ke saath
gaddedari kr sakta hai.😁",CAG,GEN,1
C7.1563,Review bana raha hai ya apni mann ki frustration dikha raha hai ye launda? 😂😂,CAG,GEN,1
