ID,Text,Sub-task A,Sub-task B,Label
C7.1430,Bohot pasand aaya bhai aap ki bate mai bhi yese he sochta hu dil ki baat,NAG,NGEN,0
C21.188,10 /10 👍 pahil bar b.wood movie ke 10matks dekhrahu hoon,NAG,NGEN,0
C4.1780,Kabir singh ek wahiyad movie hai,NAG,NGEN,0
C4.331,Ye kon chutiye script likhte h 😂😂,NAG,NGEN,0
C7.1863,O stree friendship karogi😂,NAG,NGEN,0
C21.214,Kya **Chal Man jeetva jaiye** ka part 2 kab release hoga???,NAG,NGEN,0
C4.1658,"Bhai mere sach bolne ke liye guda chahiye  
Tu sach bolta hai bhai.....",NAG,NGEN,0
C59.542,Jai ho bro,NAG,NGEN,0
C7.1576,"Real love se problem nahi hai... Aap ek baat batao agar kisi ladki ki aap
pasand karte ho toh aap pehli mulaqat mein hi use kiss kar doge? Sachcha pyar
karte ho toh maaroge use?",NAG,NGEN,0
C7.1846,"Sir baki logo ke review aur apke review me bahut antar hai  
  
Sirf Apka review dekhne ke liye hi besabri se intajar krta hu 😘😘😘 love you sir",NAG,NGEN,0
C4.1649,One word is enough for movie - Maha chodu movie,NAG,NGEN,0
C4.2104.1,Jo baat 😂😂,NAG,NGEN,0
C7.2433,"KANCHANA 3 KA MOVIE REVIEW KARO PLZZZ.  
KANCHANA 3 KA OFFICIAL DIGITAL PREMIER SUN NXT PE HO GAYA HAIN.",NAG,NGEN,0
C19.154.1,"@सिरफिरा काफ़िर 007 bhai mere to statement correct kro kyoki chand to ek hi
h,tara bolo use kyoki tara tumhe dusra mil sakta chand to gya boss",NAG,NGEN,0
C38.417,Autowale Bhaiya <3 <3,NAG,NGEN,0
C4.1664,apka breakup up kob huya sir,NAG,NGEN,0
C4.2066,"Bhai tere other jo topic hai Bollywood k alwa wo mast hai.....main ustarki
topic jada dekhna chahta hoon.....Bollywood ki topic agar aa jata. ...to main
v prove kar sakta hoon tu kinta galat hai...",NAG,NGEN,0
C7.2570.2,Sari movies dekhunga.. screenshot le liya hai.😍,NAG,NGEN,0
C4.1318.5,Kabir singh mivie ke hisab se achi he usee reality ke sth kyu jod rhi ho🙄🙄?,NAG,NGEN,0
C26.57,बहुत अच्छा किया,NAG,NGEN,0
C32.16.2,HMM,NAG,NGEN,0
C33.165,Iska Rona,NAG,NGEN,0
C4.1298,"Shayad tum h kabhi pyaar ni hua shwetabh .... Aaj tum galat ho ... Meet up
rakho phir batauga",NAG,NGEN,0
C4.1984.5,"@Debasish Chakraborty भाई तू एक नंबर ब* ****दी करता है इसलिए मैंने ने तेरा नाम
रखा है होमोसेपियन ब******",NAG,NGEN,0
C7.906,"Bhai movie to achi h. Per
[3:00](https://www.youtube.com/watch?v=J2J5ssSP5yQ&t=3m00s) hrs kuch Jada ho
gya.",NAG,NGEN,0
C4.1054,"**hum sbko aapki book ka sab see Jada intezar haa**  
Please jaldi nikalooo yarr😅🤘🏻❤️❤️❤️",NAG,NGEN,0
C10.1049.3,Madersa chaap !,NAG,NGEN,0
C4.56.1,"😂 mere dost ne bhi kabir Singh ki dp laga di thi aur kahta hai ab to tera bhai
smoking start karega 😁",NAG,NGEN,0
C36.883,भाई वो is up officer का बनाओ,NAG,NGEN,0
C36.854,Nahi hona chahiye,NAG,NGEN,0
C36.353.4,@INDIAS TOP 5 kama sutra me homosexual sex ke bare me bhi he.,NAG,NGEN,0
C26.247,yar in chizon ke uper koi movie kyu nhi banata?,NAG,NGEN,0
C4.1832,"[6:28](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=6m28s)  
Ohh bhai  
Pagal hai kya  
4 nhi, 2",NAG,NGEN,0
C36.1046,Sir apne daily The Hindu analysis kariya please sir request.,NAG,NGEN,0
C7.827,Kabir Singh movie bahut acchi hai,NAG,NGEN,0
C7.2003,Ekdam sahi kaha aapne.,NAG,NGEN,0
C9.32,Bhai aap kerala me jo rajyapal ke sath irfan habib ne kiya hai us ko cover kro,NAG,NGEN,0
C21.34,Sir..the family man series ka review kab karenge?,NAG,NGEN,0
C4.1046.2,Bat sahi but jo bol raha wo samjj ne wali hai,NAG,NGEN,0
C4.1764,Kisne abhi tak dekhi bhi nahi like,NAG,NGEN,0
C4.489.1,@execute hum kabir Singh ka “Raw analysis” kiya hai kya...,NAG,NGEN,0
C7.2131,"Movie review kaha hai?  
Aur kon h ye liberal.",NAG,NGEN,0
C4.1973.1,Bhai yhi comment dhundh rha tha koi to kiya hoga😂🤣😅,NAG,NGEN,0
C7.2340.1,haha jaise tune bdaa kia hain aurton ke liye,NAG,NGEN,0
C7.753.2,"Fir to hamare Desh me ab tak sab Ko Terrorist ban Jana chahiye tha...  
Kyu ki Sabse jyada films to Terrorists and criminals Ko glorify karne vali
Banti hai Bharat me !",NAG,NGEN,0
C38.224,"[3:47](https://www.youtube.com/watch?v=ZzsAuDkXq1M&t=3m47s) tu mera Bhai hai,I
love you..",NAG,NGEN,0
C36.608,Mere hisab se Sahi kaha hai.. Bipin rawat Ji ne..,NAG,NGEN,0
C4.1280.2,"Sarvesh Yadav vohi toh bhai chahte hai , ki hum apne me kam kare apna attitude
uss tharah bane  
Kam karte raho mere bhai apne pe",NAG,NGEN,0
C4.965,"Gajjjab content ,",NAG,NGEN,0
C7.1977,"Prateek Bhai am one of ur big fan when it comes to giving honest review but i
hate to disagree with u about this film. Feminism ki baat nhi yeh movie jis
adhar pe baney gayi hai woh galat hai.",NAG,NGEN,0
C26.298.3,Tumhara to kuchh nahi. yahan 47 lacs maang rahi hai!,NAG,NGEN,0
C4.209,"Kuch logo ko Om Shanti Om pasand hai to kuch ko Taxi Driver, pr muje is se
ghnta frk ni pdta",NAG,NGEN,0
C7.2230,Awesome bhai. Liberals and communist ki band bajadi.,NAG,NGEN,0
C32.80.1,@Vinay Hotty ?,NAG,NGEN,0
C21.257.1,"@Soumya Ranjan Sahoo Abhishek bachhan bhut achhe actor Hain unhone ""khelein
hum jee Jaan se""bhut hi achhi thi surjya sen par thi Maine surjya sen ka naam
USI film SE Jana ye movie 2010mein release hui thi lkin deki Maine 2015
mein.Unki film raavan,run,bluff master,run,games,guru,etc masterpiece Hain.Wo
agar Kisi movie mei supporting role v krte Hain Tou wo usme bhut achhi acting
de jate hain Jo logon dwara unnoticed reh jati hai.Haan unse log amitabh
bachhan jaisi acting expect krne lage jis Karan unhe apni ek alag pehchan
bnane Ka mouka NHI Mila jis trah tiger shroff KO mila.Tiger shroff,Varun
dhawan ki bekar content wali movie v rhegi Tou wo 100 crore chutki mein par
Kar jati hai Jaise kalank.",NAG,NGEN,0
C4.1035,**kabir singh ka post mortem kr diya bhai ne** HONEST REVIEW,NAG,NGEN,0
C7.2271,Natural Background light achcha lagraha hain sir,NAG,NGEN,0
C32.110.5,masha allah,NAG,NGEN,0
C21.257.5,Abhishek bachhan kaha se agaya Bhai🤣😂,NAG,NGEN,0
C32.136.3,@Roshan Bawa ha ji,NAG,NGEN,0
C7.2153,Bilkul sahi h review ☺️☺️,NAG,NGEN,0
C7.1798,"Kabir is best flim bhaiya ..main aap ka har 1 review dekhta hu..bt is bar aap
ko supot nehi karunga",NAG,NGEN,0
C25.517,10 sal me 100% increase ho gya h but usme se 70% to misused h,NAG,NGEN,0
C7.527,T shirt MST hai,NAG,NGEN,0
C7.1619,Apke subcriber hoke acha lagta hai...very well said pratik bhai🙏,NAG,NGEN,0
C32.100.2,@Shiv Srivastv aap aapna nambar dedo,NAG,NGEN,0
C61.1581,Tare na k .. ..............c.,NAG,NGEN,0
C4.181,Pehli cheez to apna bharosa 'Love at first sight' se hta de.,NAG,NGEN,0
C4.1925,Kehna kya chahty ho bai😂😂😂😂,NAG,NGEN,0
C4.567,Ganja mt peeya kr bhai,NAG,NGEN,0
C68.437,Rite bolela,NAG,NGEN,0
C9.311,"चलो  
अच्छी बात है कि आपने अरुंधति के इस बयान का सपोर्ट नहीं किया  
पर!  
सरकार पर निशाना साध लिया 😄  
भई इतने प्रखर भाषी शब्द क्यों !  
अर्बन नक्सलस और लेफ्ट से आप बाहर क्यों आना चाहते हैं 2020 में ?  
राजदीप सर 🤔",NAG,NGEN,0
C9.44,"Saurabh bhai , apke dost varun grover ki kavita me"" kagaz nahi dikhayenge ""
vale sentence pe kya kahenge?",NAG,NGEN,0
C4.441,"Mai janta tha ye bhai bhi hate krta hoga is movie ko meri tarh,mujje pta tha
ji mera point of view kisi k saath match ho na ho is bande k saath jrur hoga",NAG,NGEN,0
C4.1668,"**Chutiya movie!**  
 **Chutiya movie!**  
 **Chutiya movie!**  
 **Chutiya movie!**  
 **Chutiya movie!**  
 **Chutiya movie!**",NAG,NGEN,0
C4.591,"Sir ap jo kehrahe bilkul sahi k movie me msg kuch bhi nhi hai.. mai bhi
theatre se nikalne k bad ye bola tha frnds ko.. story wohi ghasi piti hai
lekin is film ka success ke wajah hai iska presentation jis tarha se wo
character play kiya that was very good.. heroin thik se acting nhi kiya
neutral jaisa dikh rha tha lekin Sahid ne bht e accha kiya acting.. kabhi
kabar same chiz ko represent acche se karne seaccha result ata hai or ye movie
usika namuna hai",NAG,NGEN,0
C36.872,"Muze aisa lagta hai hamara pyara Bharat jaise sir bolte yaha aisa nhi ho sakta
aur ye koi human right ki baat nhi hai... kisi bhi job ke liye koi criteria
hona chahiye ... aur humara culture totally different hai. Hum kuch baate
western ideology ke nhi adopt kar sakte.",NAG,NGEN,0
C26.105,Bhadiya ek dum mast,NAG,NGEN,0
C9.73,"Saurabhi ji and Rajdeep sardeshai ji Arundhati ji Ka pura naam to boliye.. o
mohtarma hai kya pahle unka profile to dekhiye..fir samajh aajayega q o yesha
bol rahi hai",NAG,NGEN,0
C9.205,Saurabh dvedi ji ko bolne he nhi diya ja rha gussa arha h bhai ko 😂😂😂,NAG,NGEN,0
C33.189,bohat assa laga,NAG,NGEN,0
C4.1272,Yeh toh remake hai ek tollywood movie ki,NAG,NGEN,0
C4.712,"Bade bhai kaam to kar raha hoon lekin concentrate hi nahi kar paa raha hoon..
chata to hoon par thodi der baad hi mind change ho jata hai...",NAG,NGEN,0
C26.179,wah bhai badlaaa le liya,NAG,NGEN,0
C7.1319.1,"Are Bhai wo aise hi bolte hai  
Aur bhagwan ram ko terrorist bolte hai",NAG,NGEN,0
C7.1420,"[14:23](https://www.youtube.com/watch?v=J2J5ssSP5yQ&t=14m23s) wala scene ..
break the chain dude 🤣🤣😁👍🏻",NAG,NGEN,0
C4.1898,Aur movie 200 crore se upar Kama liya😂😂,NAG,NGEN,0
C7.1618,Jai hind 💜💜💜💓💓,NAG,NGEN,0
C9.117,ऐसी ही विवेचना में बुद्धि के साथ विद्या की भी जरूरत होती है।,NAG,NGEN,0
C7.2414.5,"Un film companion valon ki kaun sunta Hai ?  
Pratik Bhai ke Review dekh ke hi ham films dekhne jate Hai",NAG,NGEN,0
C9.230.3,"@Mayur Deshmukh maine kisi ko gali nahi di bhai maine to sirf tathya rakhe
hain.",NAG,NGEN,0
C10.1342,Arnab,NAG,NGEN,0
C4.673,Bohot jarurat thi bhai is topic ki.. Zindgi bcha li tmne meri.. Thank u yarr ❤,NAG,NGEN,0
C21.259,10/10 wah ab to dekhni padegi bhai,NAG,NGEN,0
C7.2454,Saabaash Sher,NAG,NGEN,0
C25.491.1,Ambar Dey tere ghar par h,NAG,NGEN,0
C4.1603,Bhai love M Kabir singh bhi ni mra tha usne carrier P dyan diya tha🙂,NAG,NGEN,0
C4.1195,Bhaio ye video bollywood tak pahochna chahiye or ankhe khulni chahiye 👍👍👍,NAG,NGEN,0
C4.1062,Sahi bola bhai,NAG,NGEN,0
C4.1229,"Mai soch hi RHA tha apna Bhai is 💩 movie ka review kab dega , Bhai Mera review
bhi exact same tha movie dekhne k baad",NAG,NGEN,0
C7.1519,"O stree kal ana  
  
  
  
  
  
12 baj gaya kal ho gaya 😂",NAG,NGEN,0
C7.179,Sahe bole bhai,NAG,NGEN,0
C7.986,"yeh dekho toh samjhogey problem kya hai movie mein.  
<https://youtu.be/4BPU792CdM8>",NAG,NGEN,0
C23.4,Baki movie ka bhi review ka liya karo jaldi laldi,NAG,NGEN,0
C4.385,Bollywood gurbage he sunte hi like kar diya video...👍🏽,NAG,NGEN,0
C36.335,Allow hona chahiye....,NAG,NGEN,0
C36.290,Sb ke liye equally opportunity honi chahiye,NAG,NGEN,0
C7.399,Aur khamoshi movie jo Abhi recently relase hoi thi.,NAG,NGEN,0
C10.1301.1,@Precious Paws Sahi keh Raha hai iske Baal to thikh ho jayenge.,NAG,NGEN,0
C32.110.4,"@Alijah hussain mirza VIGO VIDEO JOIN KIYA KI NHI DEAR ...PLZ JOIN KRLO OR
SEARCH KRE MOHDSAIF💖💖💖💖 OR FOLLOW KRLE PLZ",NAG,NGEN,0
C33.140,wah thora aajib he bat bahut mast he,NAG,NGEN,0
C19.1.3,"Swesant bhai agar naam galat likha ho toh bhai ek request hai ki 11 october ko
Japanese movie Weathering With You anime movie uska bhi review bana dena or ek
request hai ki uske promotion mae thodi madad karna kyuki issi movie k base
par India mae anime movie ka future depend karta hai. Please bhai🙏🙏",NAG,NGEN,0
C7.1565.1,Nahi vo Liberals & Feminists ki sabhyata hai !,NAG,NGEN,0
C7.1710.2,"Gundappa Malige nikal lawfe phir , pehli fursat m nikal.",NAG,NGEN,0
C7.1273,Ye real love hain🤣🤣,NAG,NGEN,0
C9.50,Kya kuchh bhi bolne Ka adhikaar hai ?,NAG,NGEN,0
C32.112.1,@crazy Ram aap mesej kijiye watspp pr,NAG,NGEN,0
C33.57,Milti ni h ladki yt bhaiyo wahaa kiya bat h,NAG,NGEN,0
C7.1172,Pratik bhai mai to movie ka review sunne aaya tha..?,NAG,NGEN,0
C32.98.3,Mumbai mera number hai 8286209041,NAG,NGEN,0
C4.942.2,Usko temple nahi statue bolte hai,NAG,NGEN,0
C4.306.1,Bollywood main study ke alawa sb kuch hota hai 😂😂😂,NAG,NGEN,0
C32.21.3,@Sachin Saini 😡,NAG,NGEN,0
C7.1261,Arjun Reddy dekh k pehele se pata tha wo innocent hai..Pure love...,NAG,NGEN,0
C7.2487.1,Kya Kiya sahil ne?,NAG,NGEN,0
C4.1277,"Shahid ki acting k liye ye movie meri fav. Hai and o movie kabis sibgh jaise
nahi banna hai ye mesage dene ke liye banaya gya hai😘😘",NAG,NGEN,0
C4.2195.5,@Kristina Music sahi kaha apne 👍,NAG,NGEN,0
C4.1921,"Aapna hotey toh hamara kya hotha  
Thnk u sir ♥️",NAG,NGEN,0
C7.1015,"Spoiler de diya be. Kya jarurt thi btane ki wo pregnant rhti aur bachha hmesha
ki tarha hero heroin ka hi rehta h. Nyi bat nhi.",NAG,NGEN,0
C21.25,Thank u...aap achhe review dete ho,NAG,NGEN,0
C7.898,"ek no. movie hai....mere life ka best movie hai.....bas ending chhor k sab
kuch mere life se 70% releted hain....i love this movie....main 9 saal picche
chala gaya tha....",NAG,NGEN,0
C59.894,nice bro ranu ka lya asa he bolna chaiya .......,NAG,NGEN,0
C7.437,Bhiii tera or shahid ka fan ho gya,NAG,NGEN,0
C36.1102,कैसे पता चलता है की कौन गे है,NAG,NGEN,0
C7.2583.3,"@ak 98 ..ek ""Fmf"" naam ka channel hai.. wahan jao...aur dekho ki ye bollywood
kitna anti hindu hai",NAG,NGEN,0
C7.912,Roj ke peksha 😂,NAG,NGEN,0
C26.242,well done sabhi ko yesa hi karna chahiye tabhi ye kanoon badlega,NAG,NGEN,0
C4.1149,Ak dam sahii absolutely correct!!,NAG,NGEN,0
C21.249,"Jay sree Ram ,vande mataram",NAG,NGEN,0
C36.402,"Aise topics pe jab discussion hota h or aap Kisi k point agree Nahi ho to use
araam se mana Karo,lekin agar aap chid jaa rahe ho to means aap ye sab apne
oopar le raho ho.mera kahne ka Matlab sirf itna h sarkaar ke 2 million wale
aakde galat h comment padhke Lagta h ye 10 million se jyada h warna is topic
pe to koi kisiko abuse Nahi karega",NAG,NGEN,0
C7.1946,Kyon thak raha hai bhai,NAG,NGEN,0
C4.2167.2,Bhai tune video dekh mai bhi bol rha hu kabir singh bahut bekar movie hai,NAG,NGEN,0
C9.132,Deah bachao abhiyan shuru karna padega ab,NAG,NGEN,0
C36.1145,"Sir it's a request plz make a video citizenship bill...mam ne smjhya h but
achhe see nhi aya",NAG,NGEN,0
C4.937,bala pe vi apka kiya hai wo janna chahta hu bhai,NAG,NGEN,0
C33.26,Aapki sari videos mst hoti h bhai,NAG,NGEN,0
C7.49,"hindu ,sanskrti , ki baat karne wale aj shadi k pahle sex or har 1 minute m
kiss karne ka support kr rahe h",NAG,NGEN,0
C21.124,"Pratik Bhai ne first time kisi film ko 10/10 stars diye hai. Phir to ye film
dekhni to banti hai.",NAG,NGEN,0
C4.1222,"""Jab tak is desh me cinema rahega log chutiya bante rhenge""\- ramadhir  
Singh",NAG,NGEN,0
C4.2171.4,@vaty thugs of hindustan ki baat kr rhe ho kya?,NAG,NGEN,0
C4.1605,Joker Ka reveiw kAro plz,NAG,NGEN,0
C36.306,100% SAHI HAI !,NAG,NGEN,0
C36.877,Is chainel ki khas bat ye hai ki ye various of thought open kr deta hai 😘,NAG,NGEN,0
C7.947,Oh stree frinsip karoogi 😂😂,NAG,NGEN,0
C36.614,"Army mai aisehi logonko select krna chyie Jo apne kam pe focus krte ho aur
apne desh ki seva krte ho.wo log homosexual hai ya koi aur is bat se koi farak
nhi pdta.",NAG,NGEN,0
C4.1817,views ka chakkar babu bhaiya,NAG,NGEN,0
C7.335,"Agar Duniya ko hillaana hai...💪💪💪  
Tou khud ka hillaana band karna hoga... 😂😂😂",NAG,NGEN,0
C36.316,"Homoxesual hona Chahiye sir India army me because unke Kam par focus krna
chahiye person Al life me nahi . Agar koi homosexual h to unka koi galti nahi
ye natural h . Vo b log Dekh ki seva kr skte h .  
And uko b apne kabiliyat proved Kane Ka muaka dena Chahiye .",NAG,NGEN,0
C10.543,Ye laduda Roy kon h,NAG,NGEN,0
C7.582,"bhai plzzz....jai shree ram jaise pavitr sabd ka mazak mat banne do yarr
plzzz.... matlab ye kya har video ke last me jai shree ram bolna jaroori hai
kya...ye ek mantra jaisa hai....plzzzz",NAG,NGEN,0
C29.34,bhai 2019 main Modi ko vote karuga and ap ? ❤ Har Har Modi Ghar Ghar Modi,NAG,NGEN,0
C58.360,Koi isko railway station Chod kr aaow please,NAG,NGEN,0
C9.170,"किसी का भी नाम बिगाड़ ने से मैं भी सहमत नहीं हूं पर इस कि पहल सबसे पहले बीजेपी
ने कि थी पप्पू नाम लेके",NAG,NGEN,0
C36.995.4,@simanchal mishra sahi kaha,NAG,NGEN,0
C7.1217,aapke hi kahne par mai gaya hu movie..... bahut hi acchi movie hai ye,NAG,NGEN,0
C9.14,Badi lekhak !!!!!!,NAG,NGEN,0
C25.603,"Neha gupta bol rahi hai ki .. Sher k mooh se daant nikal le liye gaye ... waah
waah .. matlab aurat sher hai .. kanoon ki nazar mey",NAG,NGEN,0
C21.87,"क्या बताऊं आपको क्या फिल्म है यह। अभी २ घंटे पहले ही वापस आया हूँ यह फिल्म देख
के। एकदम ज़बरदस्त। बड़ी ख़ूबसूरती से डायरेक्टर ने दोनों पक्षों का चित्रण किया है।
डायरेक्टर ने इतनी ख़ूबसूरती से फिल्म बनाई है की ना ही औरतो का कोई पक्ष या कोई
संगठन इसकी खिलाफत कर सकता है और ना ही कोई मर्दों का पक्ष खिलाफत कर सकता है। ना
कोई फ़ालतू का गाना ना कोई फ़ालतू का डांस ना ही कोई हवा में गुंडों को उड़ाने वाला
एक्शन। एक मिनट के लिए भी आपको यह फिल्म सीट से उठने नहीं देगी। इस फिल्म न कोई
गाली गलोच है। ना कोई ऐसा अश्लील दृश्य है की आप अपने भाई बहन या माँ बाप के साथ
ना देख सकें। मैं अपने एक दोस्त को ले के गया था जो की सलमान खान का फ़ालतू फैन
था। अब उस दोस्त का भी फ़िल्में देखने का नजरिया बदल गया है। और मुझे बड़ा अच्छा
लगा की वीरे दी वेडिंग जैसी फ़िल्में देखने वाले उस दोस्त के फिल्म देखने के
नज़रिये को मैंने बदल दिया। लेकिन एक अफ़सोस यह है की यह फिल्म 100-200 करोड़ नहीं
कमा पाएगी। तारीफ़ ज़रूर मिलेगी इस फिल्म को जनता की लेकिन व्यापारिक तोर पर
प्रोत्साहन नहीं मिल पायेगा क्योंकि इस फिल्म में किसी तरह का heroism नहीं था।
और लगभग 40% हाल खाली पड़ा था वो भी दिल्ली जैसे शहर में। भाइयो मेरी आपसे यही
दरख्वास्त है की हमें ही शुरुवात करनी पड़ेगी। किसी हीरो का इंतज़ार मत कीजिये। यह
मत सोचिये की कोई आएगा और वो हालात सुधरेगा। खुद से शुरुवात कीजिये। दिन ज़रूर
बदलेंगे। फिर वो चाहे पांच ट्रिलियन की इकॉनमी हो या जनसँख्या नियंत्रण हो या फिर
कोई अपराध और अन्याय हो। मुझे वीडियो एडिटिंग नहीं आती वरना मैं भी प्रतिक बोराडे
भाई जी के जैसे जागरूकता वीडियो बना कर यूट्यूब चैनल चलाता। दिमाग में बातें बहुत
सारी हैं आइडियाज बहुत सारे हैं पर बस अभी तो अपने आस पास के अलावा यूट्यूब और
ट्विटर फेसबुक के कमैंट्स के ज़रिये ही बाँट रहा हूँ। फिल्म को ज़रूर देखिये और
बाकियों को भी कहिये देखने के लिए। ड्रीम गर्ल एक असली एंटरटेनिंग फिल्म है और
375 एक जागरूक करने वाली फिल्म है जिसको ज़रूरत है साबित करने की ऐसी हिला देने
वाली फिल्में भी भारत में चल सकती हैं। ज़रूर देखिये।  
  
  
Jai Hind  
Vande Matram",NAG,NGEN,0
C19.29,Arrey bal kahan se agaye re baba,NAG,NGEN,0
C4.1143,"Gf ki shadi ho rahu hai bhai meri gand fati padi hai please iske upar vedio
banao",NAG,NGEN,0
