ID,Text,Sub-task A,Label
C59.516,Hobe hobe.. Ranu mondol 👎... And your video also 👎.. Get lost both...,NAG,0
C58.514.2,haha 😂,NAG,0
C4.506,You're best bhai.,NAG,0
C33.611.2,all India 1 best anup gupta I am gay why are you asking and where from you,NAG,0
C7.891.1,Film companion channel h sbse jyada uske channel pr hi view h review ke 1m+,NAG,0
C68.1027,Right boss Right,NAG,0
C10.330,"I don't understand one thing. The hypocrisy is so visible and yet how come so
many intellectuals are acting like idots to defend all these created
confusions and lies. Look at this panel too, that chethan has absolutely no
point and yet comes here and keeps shouting everything other than a logic to
support the Kunfu Kutha.",NAG,0
C65.114,"They don't deserve celebs r they really?But indian tolly actors deserve there
prof....",NAG,0
C58.128,hi api,NAG,0
C7.1864,spoiler alert,NAG,0
C4.1444,"Hey Brother first it's strong punch to bollywood garbage movies & I understand
your point there is one topic I wish you would cover if you think interesting
which is current political situation of our country I think we are democratic
county but it's feel like majority of people worshiping one person & other
dumb ass Netas just do there own hypocritic stuff so which will not meant to
helpful for people of our country so what's your opinion that's my request
lot's of love brother✌😊",NAG,0
C59.1180,You ra right,NAG,0
C4.542,"Firstly boys/girls go by looks secondly they think why isn't she/he good
hearted/independent.",NAG,0
C26.250.1,Good job. Good Good Good,NAG,0
C10.698,"When one speaks mute others. Otherwise ur debate will become sonorous and will
be avoided.",NAG,0
C59.2193,Hi😂🤣😃😄😅,NAG,0
C7.248.4,N I not a supporter of feminism n liberals,NAG,0
C9.325.1,I know,NAG,0
C33.481,kaafi tanda tha...josh ki kmi thi... otherwise awesome... keep playing...,NAG,0
C4.890.1,But they won't allow him in their own life..,NAG,0
C7.2385,You are awesome.. From Nepal,NAG,0
C4.561.2,Guys I meant it sarcastically,NAG,0
C4.868,Ayushman khurana after watching this video..... Mogambo Khus hua 😂😂😂😂,NAG,0
C33.301,Osm........ Too much funny.... Yrr........ Nd u both r looking so smrt,NAG,0
C59.727,Nice 🤣🤣🤣🤣🤣🤣🤣,NAG,0
C4.716,"But, film has true sense...does happen in society, simple..",NAG,0
C7.674,I love your T-shirt though,NAG,0
C4.57,"I just wonder how kabir singh managed to become a doctor because the life of a
medico is much more different than students from any other field.",NAG,0
C32.24,"Any man who's like the hot bearded toppr guy then plees contact me on
7045495339, im as sexxi as the botm guy here. Im based alone in mumbai, so all
hot toppr mrds, pleees call, cm n meet me. Luvvv yu all. 😍 😍",NAG,0
C9.33,"Rngabilla is ashamed now due to this
###[#H](http://www.youtube.com/results?search_query=%23H) ❕🤯😠",NAG,0
C10.708,"Nupur should be made main spokesperson of BJP. She is clear, meaningful,
offensive and defensive in command in subject and language",NAG,0
C4.1656,Would you like to review GANGS OF WASSEYPUR. Comment or like who want this.,NAG,0
C10.682,"Is he took red chili inside him while talking slowly he started loudly
...please chek his chair ... What is under hia chair which is giving him boost
again and again",NAG,0
C7.252,Madarchod all recode break india,NAG,0
C10.356,"I guess Mahatma Gandhi did the same during non-cooperation as well as civil
disobedience against the then Government !",NAG,0
C10.99,"I think arunadhati is mentally broken person ...  
She should be released of her services 😂😂😂😂",NAG,0
C10.449,"Why Arnav called guests,if not allowing to spk. their point.",NAG,0
C7.1297,<https://www.youtube.com/watch?v=43VyvfChjFw>,NAG,0
C25.489,"hello sir,  
I am working in Dubai.  
My wife filed a false case against me and my family. My wife uncle is a lawyer
he guided her.I don't know what to do. please help me, sir",NAG,0
C59.1541,Love u bro.... carry on,NAG,0
C10.361,"Why a sane person may listen such a lady whose heart is like a pool of
stagnant dirty water breeding reptiles of mind.",NAG,0
C68.1262,Absoluately you are right,NAG,0
C4.2229.4,"[17:28](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=17m28s), man this guy is
amazing!!",NAG,0
C7.2568,Pratik Bhai on Fire.. 🔥,NAG,0
C4.118,Kabir Singh is a useless movie,NAG,0
C65.464,Are fucker Holly ar fresh ki same ???,NAG,0
C7.1473.2,"Kabir Singh Full Movie Download HD 📺 👇  
<https://youtu.be/UVdef6vGZ-Y>",NAG,0
C4.2149.2,"@UC38ALNFc5uHtUmeBETkePyA It's feels much better to see a comments of smart
person..... I agree with you no doubt..... And keep spreading red pill
knowledge bro... INDIA needs that..... Simps bhare hue hai India mei",NAG,0
C59.1965,"Awesome yaar 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍❤❤❤❤❤❤❤❤❤❤❤❤
[#sajalcreative](http://www.youtube.com/results?search_query=%23sajalcreative)",NAG,0
C32.78.5,@SHAYRI & WHATSAPP STATUS hay,NAG,0
C4.1278,Great,NAG,0
C7.1346,"A film named badlapur had also shown the story of this kind of a man.. And
there were scenes like these as well",NAG,0
C7.15.1,"@Ahalyaa Namid u know what I did message u on fb I guess, just check if I sent
the message to u or not please🙊",NAG,0
C7.2554,Disney's Pixar's Up movie review,NAG,0
C33.763,Weldone guys... keep growing,NAG,0
C4.1245.1,"Arjun Reddy and Kabir Singh both are worst movies, nothing so realistic ok...",NAG,0
C47.84,Call me for phn sex 7001807655,NAG,0
C4.1350,Agreed & very well said!!,NAG,0
C4.1604,"Bro you should watch that movie again just to clear some facts. When Kabir
meets Preeti in the end, she tells her about her residence in some hostel and
she worked in a clinic. Movies are not always meant to connect them with
reality and teach us lessons ( I admit some movies do that). Some are meant to
enjoy. The movie shows an excellent chemistry between two guys with some mind
blowing romantic songs, how much more do you expect from it bro? Nothing is
perfect bro.  
As you said person should ideally move on immediately after break up (in one
of the videos you said in a slang way that, “khat khat move on karna chahiye
mard ko""), I am with you bro. But it would take 3-4 months for a guy and it’s
normal. Kabir Singh here takes his time say 7-8months (not too much for even a
fictional story), and then they marry. He developed smoking and drinking habit
but even in that time he worked. Yeah one thing you exaggerated about medical
students (they didn’t get time of all this). I being a medico can say that we
get time for our relationships and we also live as a social animal. (I am not
proving you wrong but you just exaggerated the fact).",NAG,0
C4.1851.5,@Hrdk Parmar Thanks bro for not taking me out of the way...,NAG,0
C33.600.1,@THE DARSHAN RAVAL can I ask why?,NAG,0
C33.605.4,daisy Kapoor hi,NAG,0
C38.63,"indains generation would be the next lgbd birth beouse all the indains boys
eagerly supporting same sex ...yes that is diffrent thing that if someone's
family has found a naturally birth so then let it be that one but supportining
lgbt is the unatural thing which is not allowed in any religion hiduism
christenity islamicsim etc .....",NAG,0
C4.432,"You should also talk about his acting skill, we know the story was worse.",NAG,0
C68.398.2,Same qstn???,NAG,0
C4.1747,"bro review ""lal kaptaan"" btw very eye opening review 👍",NAG,0
C9.54,"Can he really think. He didn't like it, not that it is against majority and
the government of India.",NAG,0
C10.374,"CHIA WALA AND RSS HAS GIVE ARNAB GOBAR SWAMI TO DECIDE U IS NATIONLIST AND
ANTI-NATIONAL CERTIFICATE NO DEBATE ON ECONOMIC JOBS ANY GOOD THING INDIA NO.1
BIAS NEWS CHANNEL NO.1 GODI MEDIA",NAG,0
C10.550,suzzana AR.Mental asylam is right place for her.,NAG,0
C7.2563.4,vishal photon pink was a good movie.,NAG,0
C7.725,God job sr,NAG,0
C33.166,Very nice 😊,NAG,0
C10.559,"In a 43.5 min length program arnab consumed 27 mins including interruptions,
starting point and short briefing on the matter. He invited 9 guest so the
rest didn't got even 1 min to speak. He invited them to listen him.",NAG,0
C7.374,"Completely agree with you. I didn't understand what the fuss was all about. I
actually watched the film with some very liberal minded western viewers in UK
and none of them thought the film was derogatory to women.",NAG,0
C10.314,"If she is residing abroad and flying in specifically to provoke unrest, it is
a political crime, US Govt has laws in place to curtail such activities hence
it should be addressed by proper authorities.",NAG,0
C33.513,I m gay,NAG,0
C10.573,Incarnation of 😈,NAG,0
C4.1095,This man taught me how to be realistic ..,NAG,0
C4.154,"This is not originally Bollywood movie. This is a remake of a Telugu movie--
Arjun Reddy",NAG,0
C4.2204,Our biggest launda is back😁,NAG,0
C33.679.1,"Lesbians are still minors. As a lesbian, i don't understand the concept of
straight girls turning into lesbians.",NAG,0
C7.819,Please Review Sahoo teaser,NAG,0
C4.2195.2,1000th like 😌,NAG,0
C59.1027,You are right sir,NAG,0
C7.405,Your subscriber are stuck at 180k,NAG,0
C4.865,"What a start of the video! Jokes apart please make a video on how to not get
influenced by movies. And also make a review on Sanju movie ( I know it's too
late but please). By the way nice facts",NAG,0
C4.675,"Simple & genuine explanation. As it should be...taken by everyone(male or
female).
My question here is : people in real life also do that sort of escapism .
.when responsibility or stress is onto them..like men do overdrinking, drugs.
Or kind of abuse you were telling about. Women run away with their choice, cut
their vein.. So..are these not the signs to say enough about the person...and
what should we do for them if we can't leave that relationship (like he/she be
my sibling with such behaviour)",NAG,0
C7.341,Totally agree with you,NAG,0
C7.1103.1,kuchh bhi?? Pratik is happily married with a kid,NAG,0
C44.32,Bad story,NAG,0
C68.1117,Ranu is very bad,NAG,0
C4.2116,Finally honest review of chutiya movie.... 👍,NAG,0
C10.366,Useless anchor n tv,NAG,0
C4.1086,"[7:41](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=7m41s)  
Thank me later by giving like👇👇",NAG,0
C26.39,Good lession for women who lodge fake case.....,NAG,0
C4.1359,"I wanna debate it with you man [truly.You](http://truly.you/) watched the
movie from narrow weak angle.Respect your opinions man but this movie is an
epic love story and an epic love story always tends to be destructive.Nahi
mard ki definition nhi h it's not an inspiration but a sketch of characters
who are in a state of mutually obsession which is love of a sort actually",NAG,0
C4.744,"Please read Bible my friend...God has a message for you in it ...stop chasing
girls or money in your life...give God a chance in your life...if any of you
want a free hindi or english Bible on your Postal Address.please ping
here...please watch this video

<https://youtu.be/cPS4Hdpm7tU>",NAG,0
C4.1480.3,@SOoRAj i have gita i read it...i can send you hindi Bible if you want.,NAG,0
C7.11.3,"@Nitya SG the director here too doesn't talk about that intentions but having
no restrictions with loved ones that's it & its true isn't it? Where's love if
there r restrictions so yeah I don't think he is off here & neither in movie
is there a single domestic violence issue & yeah whatever I do its not out of
rage or with the intent of wanting to rip them off so its fair",NAG,0
C10.657,"This is a publicity stunt. This person was in hibernation for sometime. This
speech is nothing but sedition. She is unfit to live in this country. The
action by Govt against this speech should be severe. It will be a deterrent
for other anti-national forces.",NAG,0
C36.468,Indian army should not have homosexuality because we should keep army pure.,NAG,0
C4.1469,"If we Titans Continue and Support this Man, We are truly capable of changing
the Upcoming Generation !! 💯",NAG,0
C7.402,"How many of the viewers study feminism & masculinism instead of watching
movies??",NAG,0
C4.470,"I dont know how kabir singh keep learned every medical topics and surgery
needs without study ..einsteen ka dimag to tha nahi",NAG,0
C7.228,I love this moviee😍😍kabir Singh😎,NAG,0
C7.458,"Great moovie .....i seen this in the evening show....great acting sahid and
kaira.....",NAG,0
C7.764,"Even army personnel are given life sentences over cases of fake encounter and
rape cases by army court. So there's nothing like we can't question them.
Questioning doesn't categories you in sexist or others",NAG,0
C7.1384,Mst review bro,NAG,0
C7.1901,09-Oct,NAG,0
C7.619.4,"@Krishan K. Singh feels like you don't give f to feminism either. Count
yourself in.",NAG,0
C7.1836,Kabir Singh....is All Time Blockbuster ...........awesome review.....,NAG,0
C45.527,vai plz...part 2,NAG,0
C10.1321.2,MC-BC Name would be perfect.,NAG,0
C59.295,1000%right,NAG,0
C4.2092,"Kabir singh hit  
Super 30 not hit  
Why socho socho",NAG,0
C7.35,Jo bhi ho. I cant support kabir singh.,NAG,0
C10.272,Give a tight slap to fake American accent girls from Chennai.,NAG,0
C32.21.1,Hllo,NAG,0
C45.156,18+,NAG,0
C10.403,Seems to be reps of ghosts,NAG,0
C4.1685,Non practical movie!!,NAG,0
C26.341,"This is the best thing a man can give on womens day....... He should be
awarded on the men days",NAG,0
C33.416,"Just listen guys if our Government have accepted the LGBT community why don't
we??? I m A Straight I Still support
[#377Act](http://www.youtube.com/results?search_query=%23377Act)...  
Jese jiski soch...  
Be Real Human beings...dont discriminate Them  
When God Accepted Them They Dont Need Your Acception...🤘",NAG,0
C43.174.1,Your mum came faster,NAG,0
C32.107,They are freak peoples...not gay.,NAG,0
C10.729,May be she is under the influence of CIA.....,NAG,0
C33.643.1,Thankyu,NAG,0
C33.269,U right,NAG,0
C4.2087.2,Yup,NAG,0
C7.2577,U deserve more subscribers sir,NAG,0
C7.1932,bhai u r awsome,NAG,0
C59.2303,r u mad,NAG,0
C7.1728,Thank you so much😀,NAG,0
C33.608,"Gd for Indians to becum homosexual ,might help wid overpopulation!",NAG,0
C4.704,Exactly bro....bhai medical line aur Kabir singh movie just opposite hai....,NAG,0
C26.305,bravo.... India needs more sons like this...Great job..,NAG,0
C7.428,Niceee roastingg,NAG,0
C68.1193,Very good friends,NAG,0
C33.151,"Nice Video  
I'm from Pakistan",NAG,0
C4.1102,"one of the genuine or intellectual youtube channel of our generation...kudos
to this man..he really deserve our appreciation and i think he earned a
genuine respect...",NAG,0
C26.319,"Good job. He is not a murderer but he is a Shaheed Bhagatsingh of this
decade.......",NAG,0
C7.452.2,"@Krishan K. Singh yeah u r right. It depends who learn what from where.
Someone can learn good thing from the bad but someone can learn bad stuff from
the gud stuff too.... u r absolutely right. Bcoz few lack to see the depth of
the emotion but they only like see the reaction and want an opportunity to
replicate.",NAG,0
C59.1555,Awesome bro 💖💖💖💖💖💖💖💖,NAG,0
C59.1718,yas,NAG,0
C4.259,"[19:19](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=19m19s) and i knew it n
do it ✌️",NAG,0
C7.757.2,Can't agree more,NAG,0
C10.743,"If modi says pakistan is our enimey condemns siddhu to visit n now he wants
they get citizenship?then he say no they are hindus inst this enough to prove
its about religion nonsense tat means only hindus r indians",NAG,0
C33.770,Good brothers,NAG,0
C10.332,"She is supported by western leftist wholeheartedly.  
They must be supplying her with funds !",NAG,0
C38.283,"The guy in yellow shirt needs to look at mirror and look at his disgusting pot
belly...no girl in her right mind would ever pick that sleazy fatso.",NAG,0
C68.300,Supar Boss,NAG,0
C33.656,Every One is In relationship expect me 😂😂,NAG,0
C58.231,Nice didi,NAG,0
C33.379,One way to control India's population..,NAG,0
C4.1930,You told my mind's taking .... It's 100 Right,NAG,0
C59.173,Ranu mondal ❌you are right.,NAG,0
C68.104,Right b👍👍👍👍👍👍👍👍👍👍👍👍,NAG,0
C7.248.1,U just read it wrong,NAG,0
C32.148.3,@Akash Shivhare hii,NAG,0
C7.1148,"Finally subscribed your channel becoz ....... U r awesome and the points u
explained were literally 100% true",NAG,0
C33.292,Nice ... N u boys acting 🙌,NAG,0
C4.896,True analysis!.....,NAG,0
C4.935,Uri has no item song,NAG,0
C33.519,Nice video love is love all people have to understand this.,NAG,0
C46.178,Very sad,NAG,0
C59.1103,"very good,the way u say its just awsome,keep it up Sir",NAG,0
C7.821,"ओ स्त्री  
Friendship krogi😂😂😂😂😂  
pratik borade fans like here👍👍👍",NAG,0
C4.858,The best youtuber ever.,NAG,0
C7.1543,"Forget the feministic point of view. .this movie has got nothing in it. .it
was just a random sequence of scenes made into a movie. .no logic no
continuity. .all characters were capricious. .i have never seen a drug addict
get rid of his addiction within a day without the help of a rehab. .i have
never seen a girl so muted n submissive to fall in love literally without a
reason. .every character in the movie was far from imaginable. .i think all
the people who went to watch this movie have been befooled by the trailer of
this movie. .those who havent gone yet please save your money and watch the
world cup instead or go to an amusement park with their families for an
outing. .i give this illogical movie a big fat zero out of any positive
integer. .",NAG,0
C33.769,Awsoume video... Keep it up ..love u all ❤️❤️❤️,NAG,0
C36.396,"In Indian army.... I will say in any army of the world the backbone, the
foundation of military or army is ""Discipline, Honour, Valour, love for
Motherland and Humanity, Courage to accomplish impossible task and many more
hard works""..... These are the things which is foundation of Indian armed
forces or foundation of any best militaries around the world, talking about
Gays or lesbians..... Just look at history in ancient time very few or
negligible number of women take part in army but time changed we are in 2019
and women are serving in military so Now Gays and lesbians recruitment in
military then military is well aware about the developments to be done
according to need and time and I think in future military will induct Gays and
lesbians in armed forces but now Indian army chief said we will not allow Gays
and lesbians in army then he is 100% correct and I support army chief,
patriotism is not just needed on borders for military only but inside the
country also we need a lot of patriots for bright future of country.",NAG,0
C32.47,Sorry Bad message(Gay people Nice ),NAG,0
C26.295,"Govt should analyze the impact rather making new laws against men. I did not
see if the guy has done anything wrong. You are the hero. I appreciate that
you surrendered.",NAG,0
C32.160.5,Chambal Tigers hii.j,NAG,0
C4.188,Into superb tha,NAG,0
C4.312,"Its Time to Establish ""Men's Commission of India"".",NAG,0
C9.113,<https://youtu.be/46lrFoRgnoA>,NAG,0
C4.537,We want more videos like this 🙏🙏,NAG,0
C45.300.2,tista sinharoy nice,NAG,0
C55.129.2,Do 4th,NAG,0
C4.2176,Amazing Boss 🔥🔥,NAG,0
C59.709,U r right 💯,NAG,0
C4.1825,"I swear , Bollywood ke bare me such Kaha  
Bohot hi sensless Unrealistic , every decade  
Nothing new Love... Breakup... Drugs..Femenism...Villan.....No Logic...  
No serious.. message...iteam song...Heroine..Slave.. Total waste of time...I
think never will be ... only few movies  
Wast of Money....",NAG,0
C45.594,Please your mobile number sand me now,NAG,0
C44.307.5,@Farabi Farhad yes...I also agree with u,NAG,0
C7.2547,Fuck boy 😂😂😂😂😂😂,NAG,0
C4.813,Haha one dislikes is done by sandeep vanga reddy,NAG,0
C68.945,"Once your comment . You are
an honest men . I like your comment .",NAG,0
C4.1617,"Do just one change to yourself, Avoid ""ma chod di"" gaali. It's a very very bad
manners. It ruins your character. Please...............",NAG,0
C65.342,"I say from India. Parimani mam you are very beautiful. I Miss you so much. I
did the political science Honors from Jamia Milia Islamia University. I also
wish to visit you in Bangladesh. Happy Life.",NAG,0
C4.2134.4,@Random Talks thanks for suggestions,NAG,0
C4.1181,Beggars are now everywhere 'hit like' if you are agree.,NAG,0
C59.1626,Oosam brother,NAG,0
C59.482,U r right bro,NAG,0
C7.1289,Thank you Bhai,NAG,0
C10.582,"Immediate action should be taken by government for fomenting wrong massage to
entire society.When our bonafide government start taking stringent  
action on such insane, corrupt anti-nationalist animal.",NAG,0
C33.391,Love has no gender...😀,NAG,0
C36.672,"It should not be allowed  
As in army there are army there are amny activities  
Where they have to live in the camps with no connection with there base camps  
Like north east or some parts of j and k .  
It homosexuality is allowed it will become more thn a disaster to our
prestigious army.  
As those people will also provoke others to indulge in the same ...  
Jai hind..",NAG,0
C7.714,"Won my heart, brother. Very beautifully explained.",NAG,0
C33.549.1,Karan GOAGliya yes,NAG,0
C4.186.2,This video is made for people like you only😒😒😒,NAG,0
C9.252,"Moral of the story ""never speak publicly in a language you are that bad at""",NAG,0
C26.158,Salute to u jahagir.,NAG,0
C68.1081,l like this motivation,NAG,0
C4.271,Nice work man. Liked it.,NAG,0
C7.1930,great man,NAG,0
C7.373,I just wanted a review 😅😅,NAG,0
C10.556,"Arrest her and others under UAPA for inciting violence by misrepresentation of
the act.",NAG,0
C63.71,nicetip,NAG,0
C7.1385,Too good bro,NAG,0
C26.180,thats right ekdam sai kiya isne,NAG,0
C4.521,"Lots of love from
[#theknownartist](http://www.youtube.com/results?search_query=%23theknownartist)",NAG,0
C7.1318,We don't care what feminists say?😛,NAG,0
C10.491,"Dat cunning woman Arundhati need a doctor she is sick I feel sorry for her n
over her situation lost cognitive sense",NAG,0
C4.186.1,"Anuroop, he's talking shit, from 1st line to last, im also against to self
destructiveness, but dont tell me to become a emotionless robot🙏 if a girl is
silent, that develops/create more opinions,
[8:45](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=8m45s) silent people(male
or female) have more opinions(bcz they keep mind calm nd think of several
things) and better decision making skills, because im also a silent guy i
know👍! I cant listen to his shit🙏🙏🙏",NAG,0
C4.1953.1,Tere naam was 100000x better thn shitty kabir singh👎👎👎👎👎,NAG,0
C10.644,"Most despicable and a daft and ignorant lady arundhati Roy is whose claim to
fame is a nit wit fiction. Now condescending the sheer identity of beings by
naming..... What a mortified ides....",NAG,0
C4.1915,"I didn't watch that Kabir Singh movie.  
But I watched telugu version Arjun Ready.  
Reluctantly I agree with Shwetabh ,but in ""Arjun Ready"" hero will move on,
give up his bad habits after his grandmother's death and not for that girl.  
Though he has bad habits, I felt his character was genuine. He didn't not want
to escape from punishment or Karma for his deeds. He agrees his crime in the
court. He didn't not want to escape like a coward.  
And lastly he knew that he is wrong. He knew that, this is a phase in his
Life. He knew he is going to be changed and want to change but can't because
he is addicted.  
Sincerely I didn't like Shwetabh's point of view for the first time. May they
changed story line because of Bollywood's pressure.",NAG,0
C7.1954,"Osm movie boss  
Altime blockbuster",NAG,0
C4.2203,Shwetabh bhai on fire 🔥,NAG,0
C45.335.1,imo namber call me 008801850322634...ok,NAG,0
C67.145,"I understand Didi,",NAG,0
C10.163.1,"@Aqal Mand Yeah. Dumb Rahul bhakt. If you can pelt stones and burn down buses
and trains.... It's obvious that the 'facist' regime would use a heavy hand to
spank your ass. So don't make a fool of yourself and find peace with the tool
you play with all day long.",NAG,0
C65.424.4,Md Shahin right,NAG,0
C10.660,"Before the advent of internet, social media n videos sharing platforms people
like arundhati were seen as elite writers, liberal and intellectual bt time n
internet has broken their charm n it has shown that they r nothing but rabid
haters of india, supporters of anything that is against india.",NAG,0
C4.932,"**Hahahaha Kabir Singh ke ghanti bja de yar!!!**
Well done!!! After watching this video, he would work in such a movie:D",NAG,0
C4.1966,Awesome Bhai 🔥🔥🔥.....please make review on joker movie.,NAG,0
C4.56,"I literally saw one of my junior's watsapp status where he has written that
Kabir sing movie has inspired him a lot. When I asked him what was inspiring
his reply shocked me. He told me that he liked the way Kabir loved that girl.",NAG,0
C4.58,"Even alauddin khilji, bajirao, tanaji,padmavati, mastani dance in Bollywood
movies😂😂😂",NAG,0
C33.116,thanks sir,NAG,0
C7.544.1,ओमकार देशमुख why?,NAG,0
C7.1583,Haha what a joke..u should not speak dude,NAG,0
C4.1957,"If film had show from Preeti point of view then it will be crime drama not a
romantic film.",NAG,0
C4.1234,Suggest some books brother .☹️,NAG,0
C4.1170,**JOKER** review plzzzzzz,NAG,0
C33.282,"This is the first video I'm watching from ur channel... I really enjoyed it..
Already subscribed ☺☺ keep doing the good work and make awesome videos..",NAG,0
C36.582,Homosexual should not allowed in army bcz it will distract army men.,NAG,0
C65.256,Porimoni I wanT To fuck Youuu BabY 😍😘,NAG,0
C63.66.1,siraj mia নেগেট,NAG,0
C33.167,Very nice😍😍😍,NAG,0
C7.497,dho dala pratik sir heads off to u,NAG,0
C10.150,nupur..plz come on yaar😂😂😂😂😂,NAG,0
C33.761,awesome <3 love you veere,NAG,0
C7.712,Awsome understanding and review 👍,NAG,0
C25.583,Thank God for women like Deepika Bharadwaj that gives us some hope!,NAG,0
C10.741,"Arnab , right to freedom of expression and speech is not ABSOLUTE !",NAG,0
C10.122,Nation want to know when u leave.......,NAG,0
C4.142.2,"Because ashiqui 2 was remake of Hollywood movie A STAR IS BORN therefore that
movie is realistic.",NAG,0
C10.206,"Madhu Kishwar ight be fine but she is very hostile on Twitter and very
disrespectful. At least she should behav gracefully on Twitter.",NAG,0
C4.538,Very nice explanations shewetab bhai,NAG,0
C46.132,Oh god,NAG,0
C10.134,"Who are these sus scofa supporting AR? We gather all these secularvengers, put
them on a plane piloted by Owaisi and send off towards The Indian Ocean. Guess
who would be the air Hostess?....Mamata Mufti , Kavita Khalid, Arundathi
Andrabi, Kannimozhi Khalifa. The toilets cleaning contract must be awarded to
Kamal Nath, Ashok Gul Ghelot, Rahul Rashid, Kamal Hassan. Happy landing.",NAG,0
C59.1619,Awesome bro,NAG,0
C7.318,"Look at his T-shirt. 😂 😂 😂  
High level single person.  
Like me",NAG,0
C33.131,The proposal of male to female was good rest of vedio was making me cry,NAG,0
C59.2026,U r ri8 bro,NAG,0
C45.146,Nicetips,NAG,0
C59.515,just super boos,NAG,0
C4.1141.5,better to watch tvf than this horseshit movie,NAG,0
C4.2165,"Thank you Bhai.  
At last you took up this issue I've been requesting u since the release of
Arjun Reddy. Thank u very much.  
👍👍👍",NAG,0
C7.1721,Great bro 🙏,NAG,0
C7.188,"First time heard a honest review... Others are judging the movie without even
watching. Exact n true review. I agree with your perspective.",NAG,0
C45.18.1,Call,NAG,0
C4.774,"hollywood making joker
bollywood making housefull 4 so proud of bollywood",NAG,0
C4.1839,make a review of the movie Chichore,NAG,0
C33.192,Superb yrrr,NAG,0
C10.307,"I was surprised to know that she is Pronoy Roy's cousin..she is basically
Christian by religion and she hates hindus even before Modi regime",NAG,0
C4.86,I like this movie,NAG,0
C4.2163.3,"I went to watch the Punjabi movie Shadaa(Translation:Unmarried) at the time
this movie [released.You](http://released.you/) can sense the enlightenment my
mind has achieved. 🙃",NAG,0
C7.445,Love you sahid kapoor ❤😘💞😍❤😘,NAG,0
C63.16,Nise Video,NAG,0
C7.1877,OK bro .....,NAG,0
C4.627,So Kabir singh is devdas without consequences.,NAG,0
C4.1281,Why I wasting my time here!!,NAG,0
C7.2137,Where is Movie Review????😠😠😠😠😠,NAG,0
C10.539,"this guy is the most sold of them all. She is protesting with a smile u. I
dont know how all u can say that she is lunatic.",NAG,0
C59.242,You're right vaiya,NAG,0
C7.358,Director me guts hai. Excellent movie,NAG,0
C4.1686,19 :30 👏👏👏salute u for this,NAG,0
C4.992,"Haha we Indian audience made this a blockbuster -LOL (I haven't even watch
this movie) Sorry Shwetabh bhai for making u watch the movie (for torturing
you).Thanks for doing this for me , I was waiting for your review , I thought
I will watch the movie if only you recommend us to watch it .Thank u for
saving 2 n half hours of my life .",NAG,0
C26.344,"Domestic Violence claims 170 thousand husbands:- In the last twelve years
(1996 - 2008) 170,000 husbands have been claimed by rampant domestic violence
against them. In a shocking revelation of suicide statistics for the year 2008
reveals that almost double the number of married men have committed suicide in
comparison to married women as the report attached here corroborates. It
states that in the year 20",NAG,0
C10.245,"Arnab why do you get these idiots like Kasturi, Sunita Chopra to spoil the
dignity of your show..",NAG,0
