tweet_id,Text,task_1,task_2,Label
hi_hasoc_2021_5838,"@Sabhapa30724463 उप्र लागू नही होता क्यों कि मै जानवर जाती हूं अतः आप अब बताइए क्या कारण बनता है भगवान राम कहतेहैं सुनोमै चक्रवर्ती महाराज की दसरथ का पुत्र राम हूंअतः मुझे यह अधिकार है कि यदि कोई पसु समाज के द्रोही, हिंसक, व जीव को हानी पहुंचाता होतो राजा का अधिकार है कि उसै मार दिया जाय क्रमशः",HOF,OFFN,1
hi_hasoc_2021_6092,"गांधी खानदान को गांधी की पड़पोती ने सिद्ध किया बस सात साल जेल,यहां क्यों वेल पर घूम रहे है कमीने?",HOF,OFFN,1
hi_hasoc_2021_5598,@SudarshanNewsTV @SureshChavhanke सुअर तेरे कितने रूप,HOF,OFFN,1
hi_hasoc_2021_5911,"@Sujata1978 ऐसे जानवर हर दूसरे घर में भरे पड़े हैं, सख्त अफ़सोस की बात है...सब वाकिफ़ हैं पर सब भुला दिया जाएगा चंद पलों में.. जैसे स्त्री मनुष्य ही ना हो, उसकी इज्‍जत, सम्मान, भावनाओं का कोई मोल ही ना हो... हद है   क्या वहां कोई भी ऐसा पुरुष नहीं था कि अपना जूता प्रयोग कर पाता...",HOF,HATE,1
hi_hasoc_2021_4651,@ghaziabadpolice @Uppolice @amitpathak09 @adgzonemeerut @igrangemeerut @AmarUjalaNews @AHindinews @NavbharatTimes @Live_Hindustan @TOINoida @dgpup क्या गाजि़याबाद पुलिस इस अज्ञानी मुर्ख नरसिम्हानंद सरस्वती को गिरफ्तार नही कर सकती??क्या गाजि़याबाद पुलिस पर किसी का दबाव है क्या जो अबतक इस नरसिम्हानंद सरस्वती को गिरफ्तार नही किया गया?? देश के हर शहर से इस नरसिम्हानंद सरस्वती के खिलाफ FIR हुयी फिर भी इसे गिरफ्तार नही किया गया😡 https://t.co/e89XIYKzWD,HOF,OFFN,1
hi_hasoc_2021_5718,इस देश में आतंकी की लाश उसके घर वालों को मिल सकती है दलालों की लाशे उसके घर मिल सकती है पर यहां खत्म होने के बाद भी  आखिरी rusumaat नहीं कर सकते।😡😠 लानत हो ऐसी सरकार पे खुदा गारत करें निकम्मी सरकार को। #JusticeForShahabuddin,HOF,HATE,1
hi_hasoc_2021_4864,भाजपा की केंद्र मे पूर्ण बहुत की सरकार है बंगाल में 18 सांसद और करीब 80 विधायक है फिर भी उस दल का राष्ट्रीय अध्यक्ष धरने पर है ये ऑस्कर वाले कहाँ मर गये नड्डा जी को अवार्ड क्यों नहीं दे रहे हैं..!! @SunitaDuggal7  @JPNadda  #BengalBurning,HOF,HATE,1
hi_hasoc_2021_4652,"यह भेंस चोर दुसरो को अपना बाप बनाकर अपनी नाजायजी क्यु प्रस्तुत कर रहे हैं, ओर साथ में ट्विटर पर अपनी नेशनल ओर इंटरनेशनल बेइज्जती करवाने से बाज़ नहीं आते..!! #RajputSamratPrithvirajChauhan",HOF,HATE,1
hi_hasoc_2021_1816,बंगाल में ममता रंडी की सरकार है! सारे मुल्ले  इसके भड़वे बन गया है! आसाम का बदला बंगाल में ले रही है ममता रंडी! बंगाल का बदला भाजपा शासित राज्यों में ले हिन्दू! दूसरा कोई रास्ता नहीं है! अन्यथा हिन्दुओं को अपनी  इज्जत की नीलामी खुद अपनी ऑंखों के सामने  देखना पड़ेगा! https://t.co/JNwdhX46H8,HOF,OFFN,1
hi_hasoc_2021_4742,@JPNadda तो आप ट्वीट करने के अलावा और कर भी क्या रहे हैं? #BengalViolence #BengalBurning,HOF,OFFN,1
hi_hasoc_2021_5826,"कनाडा में एक मुस्लिम परिवार के 4 फ़र्द को रौंदकर क़त्ल करने वाला आतंकवादी यहूदी है। यक़ीन जानिये अगर ये क़त्ल करने वाला मुस्लिम होता और मक़तूल फ़ैमिली ग़ैर-मुस्लिम होती तो दुनिया की इस्लामोफोबिक मीडिया अबतक ""इस्लामिक आतंकवाद"" का रंडी-रोना रो रही होती। #IslamophobiaIsTerrorism",HOF,HATE,1
hi_hasoc_2021_5201,"ये बंगाल की CM ममता बनर्जी नही है,ये Terror की आका डायन है👹जो बंगाल मे TMC पार्टी के आतंकवादी जिहादीयोंसे बलात्कार,खुन,खराबा बंमबारी कराती है  #TMCTerror #TMCGoons #BengalBurning #BengalViolence #MamtaisTerrorist #ArrestMamta #ShameOnDiaonMamta #ShameOnTerroristMamtaBanerjee https://t.co/qh8xAtJsd6",HOF,OFFN,1
hi_hasoc_2021_164,@AbdurRahman_IPS @myogiadityanath जैसे ढोंगी और गुंडे लोग ज्यादा खतरा है समाज के लिए  ऐसे कमीने लोग सत्ता में बने रहने के लिए किसी भी सीमा तक जा सकते है!,HOF,OFFN,1
hi_hasoc_2021_5967,"5G नेटवर्क चीन का नहीं आ रहा है पूर्ण स्वदेशी jio ला रहा है इसलिए चिन की दलाल अपने इटालियन भाभी जी के जरिए अफवाह फैला रहें हैं ..!  5G से चिड़िया मर रही है मच्छर क्यों नही मर रहे , रोज़ खून पी रहे है ट्विटर के चमचों जवाब दो ?",HOF,HATE,1
hi_hasoc_2021_4841,ये जो मासूम हिन्दुओं की चिताएं जल रही हैं और अर्थीयो का अपमान हो रहा है..  ये सब राजनैतिक धर्मान्धता और गलत नेताओं की गुलामी का इनाम है!  #IndiaNeedsOxygen  #indianeedoxygen  #IndianLivesMatter  #Oxygen  #OxygenCylinders  #Congress  #RahulGandhi  #ResignModi  #ModiKaVaccineJumla,HOF,HATE,1
hi_hasoc_2021_5662,@iAakankshahere @ArvindKejriwal इसके फ्री के चाटुकारों व देश के गद्दारों की वज़ह इसका रंडी रोना चल रहा है वरना यह तो जिसमें कुत्ता खाये उसमें खिलाने लायक है दोगला महाझूठा 😡,HOF,OFFN,1
hi_hasoc_2021_5595,"@shahtariq39 @ppbajpai तुम चुप रहो भाईजान, तुम्हे क्या है न तुम कानून के न संविधान के। तुम्हारे भाई बंध इसी tax के पैसे से 10 10 बच्चे खिला पिला रहे और योगदान 0।",HOF,OFFN,1
hi_hasoc_2021_5982,@UPENDRA57815086 बिलकुल सही अंकल जी देखकर ही गुस्सा आता है जब ये विश्लेषक की तरह नही एक दलाल की तरह बात करता है,HOF,OFFN,1
hi_hasoc_2021_5612,"#Elections2021 #ResignModi  #Resign_PM_Modi  Resign modi  लोगो के मरने से  डर नही लगता, सत्ता जाने से लगता है। https://t.co/RYwatRTbak",HOF,OFFN,1
hi_hasoc_2021_5404,"@KhanAmanatullah @OsamaShahab_ @PMOIndia लालू की रिहाई की कीमत शहाबुद्दीन साहब की जान से चुकाई गयी है, RJD की खामोशी इस बात की गवाह है। Tejashwi Yadav दिल्ली में होने के बावजूद हॉस्पिटल नही पहुँच सकें।  ये वक़्त भुला नही जाएगा।।   इमरान भाई अमानतुल्लाह खान आपको सलाम #StandwithOsamaSahab  #JusticeForShahabuddin",HOF,HATE,1
hi_hasoc_2021_5775,लोग मर रहें हैं #बंगाल_हिंसा में ! और ये धरना दे रहे हैं एयर कंडिशन्ड हाल के अंदर । हद्द हरामखोरी है । कोई क्यों करें इन पर विश्वास ??? #BengalElection2021  #BengalBurning https://t.co/8GNj2uMUcW,HOF,HATE,1
hi_hasoc_2021_2272,@MimrotReena सिद्ध कर दिया अग्रेंजो की नाजायज औलाद कौन है। हिन्दी व हिन्दुस्तान पर हमे गर्व है।,HOF,OFFN,1
hi_hasoc_2021_5451,व्हाट्सएप पर यह वीडियो प्राप्त हुआ कहां का है यह पता नहीं चल पाया वीडियो देखकर दिल दहल गया सड़क के एक किनारे पर बैठी गोवंश को इस तरह ट्रैक्टर ट्रॉली से कुचला इस सुअर ने।  😡 @TheDeepak2020In @TheDeepak2020  @deepaksharmazad  @YogiDevnath2 @TigerRajaSingh https://t.co/KnqG5uo36H,HOF,OFFN,1
hi_hasoc_2021_3922,"@vinodkapri झूठ से पैदा हुआ है ये लणैन्द्र मोदी ,  जिसकी मां की  गारेंटी तो पर बाप की कोई गारेंटी नही।। #ModiKaVaccineJumla",HOF,OFFN,1
hi_hasoc_2021_4748,@BIcYlNM7hmtJgVC @NareshSetia4 @SanatKumarKhan2 @brajeshlive मेरी ही गलती है मै वैश्या पुत्र के मुंह लग गया ।,HOF,OFFN,1
hi_hasoc_2021_4388,"#CruelMamata तेरा नर्क बनते लोग यही देखेंगे, बूढे लाचार और बच्चों पर अत्याचार तुझे नष्ट कर देगा.  #BengalViolence #BengalBurning  @MamataOfficial https://t.co/53Ar1PPips",HOF,OFFN,1
hi_hasoc_2021_3444,धवन मदरचोद ज़िंदा है मर गया 😁😁😁,HOF,PRFN,1
hi_hasoc_2021_4859,@ANI जादवपुर के बीजेपी उम्मीदवार रिंकू नस्कर के घर पर टीएमसी के गुंडों ने किया हमला  #TMCTerror #BengalBurning https://t.co/LBpLaqMVjK,HOF,HATE,1
hi_hasoc_2021_5715,@PANKAJPARASHAR_ कुत्ता हरामज़ादा कहीं का,HOF,PRFN,1
hi_hasoc_2021_1079,चुनाव में लाखों की भीड ओर धरना VVIP आज जरूरत है ऑक्सीजन व ईलाज की ओर ये जनता को भडका रहे हैं।भाजपा हैं दंगा पार्टी। #OxygenShortage #Corona #bangalviolence #tmcgoons #BJP #AAP @abhisar_sharma @MamataOfficial @RahulGandhi @ArvindKejriwal #ResignModi #IndiaFightsCorona https://t.co/io58c6VdLb,HOF,HATE,1
hi_hasoc_2021_561,हमारे उम्मीदवार का यह दुर्दशा किया है टोलाबाज गुंडों ने #PresidentsRuleinBengal #BengalBurning https://t.co/GneJ7Fp2IW,HOF,HATE,1
hi_hasoc_2021_5488,देश के गद्दार हरामी दोगलो के कारनामे https://t.co/8Zz39ds8T9,HOF,HATE,1
hi_hasoc_2021_1077,योगी जी.  इस BSDK वाले की सुरक्षा मे दो राफेल जहाज लगाओ...   बाकी हमे पता है इसकी शकल देखकर कोई कुतिया भी नहीं मूतेगी 🤣🤣🤣 https://t.co/pMNPNFcFb7,HOF,PRFN,1
hi_hasoc_2021_3542,@orca2409 @ZDTnrzUWf8fR6m4 @ActivistSandeep @RahulGandhi चाटुकार भौकता रह bsdk बांग्लादेश की आबादी देख वहां तेरे जैसे चुटिया को बोलना भी मना हे बांग्लादेश का परतर करता हैं लोली वैक्सिन वैक्सिन चिल्लाता रहा और पप्पू ने राजस्थान ने 11लाख वैक्सिन खराब कर दी उस्प्पर भी कुछ बोल,HOF,OFFN,1
hi_hasoc_2021_2045,"@PiyushrajGupt12 बेटा संघी देश के अजादी में तुमलोगो का कोई हाथ नही है बे ...अंग्रेजो का दलाली करने वाले लोग आज 𝓣𝔀𝓲𝓽𝓽𝓮𝓻 पे रो रहे हैं ,,, संघी को छोड़ कर सभी हिन्दू मुस्लिम सीख ईसाई सभी का अहम रोल है था ,,, तेरे जैसै संघी गांडू चुप चाप रहो बे लौड़े 𝓦𝓱𝓪𝓽𝓼𝓪𝓹𝓹 𝓤𝓷𝓲𝓿𝓮𝓻𝓬𝓲𝓽𝔂 वाले",HOF,HATE,1
hi_hasoc_2021_4736,"दो मिनट का मौन ऊन हराम-खोरो के लिए भी जिनको बंगाल में चुनावी रैली दिखी मोदी की सारी गलतिया दिखी, कोरोना भी दिखा किन्तु अब TMC के गुंडो द्वारा हिंसा, लूट, आगजनि और बलात्कार नहीं दिख रहा। #BengalBurning #secular_dogle",HOF,HATE,1
hi_hasoc_2021_5136,"@AmarUjalaNews @drharshvardhan @ArvindKejriwal मोदी ने देश का बंटाधार कर रखा है, अगर कुछ कर नहीं सकते तो कुर्सी छोर क्यूँ नहीं देते? #ResignModi #ResignHarshvardhan #ModiMadeDisaster #ModiOxygenDo",HOF,OFFN,1
hi_hasoc_2021_146,@AcharyaPramodk ये क्या हो रहा है?   कितने कमीने हो आप इतना कमीनापन लाते कहां से हो मौलानाचार्य  ?,HOF,OFFN,1
hi_hasoc_2021_4962,BJP dharna ....... भाई मत ही करते कम से कम शर्म नही आती।   #spinelessmodi  #BengalBurning https://t.co/FnqFzuwgAu,HOF,HATE,1
hi_hasoc_2021_1612,@TheDon7999 @ProfNoor_ @INdHumanist शक्ल से नाजायज़ की औलाद है,HOF,OFFN,1
hi_hasoc_2021_3180,मोदी ही पप्पू है और नेशनल ही नहीं ग्लोबल है। #नरेंद्र_मोदी_ग्लोबल_पप्पू #ModiResign  #IndiaCovidCrisis  #ModiMustResign,HOF,OFFN,1
hi_hasoc_2021_4185,@OpIndia_in तो मुल्ले ये बता शराब पीना भी तो हमारा अधिकार है और सुअर खाना भी।   लहौल लौड़ा कुवात्।,HOF,OFFN,1
hi_hasoc_2021_5117,@DChaurasia2312 अबे चमचे सूअर  भाजपा में ज्यादा नेता कांग्रेस के ही हैं या दूसरी पार्टी के,HOF,HATE,1
hi_hasoc_2021_3342,कभी किसी ने कोरोना वायरस के लिए @RahulGandhi को चाइना को दोषी बताते हुए सुना है ? नही न !! राहुल गांधी देश में वायरस से लड़ने वाली वैक्सीन बनाने वाली कम्पनियों को टार्गेट करते ही सबने देखा ! ये कमीना चाइना का दलाल है #ChineseVirus #ChineseGandhi,HOF,OFFN,1
hi_hasoc_2021_5985,@ashokgehlot51 अनिवार्य एफ आई आर सरकार का बेहतर व साहसिक निर्णय..सिविल सोसायटी अपराध और भय से मुक्त रहे वही आदर्श शासन है.. बजरी के अवैध खनन पर लगाम के लिए जनसहयोग से अदृश्य अनैतिक गठजोड़ों और नेटवर्क को सार्वजानिक रूप से बेनकाब का विशेष अभियान चले..सिविल दावों की आड़ में जमीनों के अपराध न चले।,HOF,OFFN,1
hi_hasoc_2021_5183,व्हाट ए मदरचोद कौम मुसल्मान https://t.co/QKetpacH5k,HOF,PRFN,1
hi_hasoc_2021_3420,"@84239Katiyar100 @RakeshTikaitBKU तेरी मा का भोसड़ा मदरचोद मिल ले पता दे रहा हु, गाओ रमाला जिला बागपत उत्तरप्रदेस,मिल अगर तेरे महू में गेर के पिसाब न कर दु तो जाटनी से पैदा नही",HOF,PRFN,1
hi_hasoc_2021_4920,"हां भाजपा उनके साथ बस ट्विटर पर खड़ी है। बहुत बढ़िया। अपना काम निकल गया तो वहां भी ""आत्मनिर्भर कार्यकर्ता"" का मंत्र दे दिये होंगे आपसब। #अमित_शाह_नींद_से_जागो  #BengalBurning https://t.co/9GEB0SwlZv",HOF,HATE,1
hi_hasoc_2021_5927,#ModiKaVaccineJumla जो bc कल तक हम वैक्सीन नही लगाएंगे कह रहे थे वे आज हमको पहले लगाओ कह रहे हैं सालो जिस मुँह से खाते हो वही से हगते भी हो,HOF,PRFN,1
hi_hasoc_2021_5100,@AMISHDEVGAN श्राद्ध अगस्त में है दलाल‌!,HOF,HATE,1
hi_hasoc_2021_4364,अंधभक्तों के फर्जी चाणक्य ने इस बार उल्टा गेम खेल दिया बंगाल में  विधायक पहले खरीद लिए और चुनाव बाद में लड़ा इसीलिए सारा खेल बिगड़ गया ।विनाश काले विपरीत बुद्धि।😂😂 #चड्डीगैंग   #Resign_PM_Modi  #deModitization  #आजतक  #GodiMedia,HOF,OFFN,1
hi_hasoc_2021_6032,@INCChhattisgarh सुनो गुलामो ओर चमचों  कोंग्रेस में रहना है तो कार्यकर्ता (मतलब कुत्ता) बन कर रहो नेता बनने की तुम्हारी औकात नही तुम कल में कुत्ते थे हो और रहोगे👊  कोंग्रेस में नेता केवल #antoniomyno @RahulGandhi ओर @priyankagandhi ही है 😅😅😅 https://t.co/wX09zJxbbX,HOF,OFFN,1
hi_hasoc_2021_4856,"रक्तरंजित बंगाल को जो आज, रक्तरंजित होने से नहीं गया रोका, यह चलन फैलेगा और जगहों पर, और बनेगा मानवता पर धोखा, अब निर्णय लेना होगा क्रूर, जालिम,नरभक्षियों पर जमकर, वरना विश्वास उठ जाएगा सबका, मजबूत सरकार से विश्वास ही हरकर। #BengalBurning @narendramodi @AmitShah @AmitShahOffice",HOF,HATE,1
hi_hasoc_2021_3051,@narendramodi  मोदी जी हम तो आपको चोकिदार समझते थे ।। मगर आप तो चोर और हतियारे निकले ।। #hatiyare #muderer #aajtakgodimedia #ResignModi,HOF,OFFN,1
hi_hasoc_2021_4863,"@TheMukeshK_ दो मिनट का मौन उनके लिए भी जिनको बंगाल में चुनावी रैली दिखी ,  कोरोना दिखा किन्तु अब हिंसा , लूट अग्निकांड और महिलाओं को लुटती इज़्ज़त नहीं दिख रहीं 😡😡  #PresidentsRuleinBengal  #BengalBurning  #BengalViolence  #KhooniKhela  #WestBengalViolence",HOF,HATE,1
hi_hasoc_2021_5475,@Palshri1234567 ए लड़की तुझे दिनभर कोई काम नहीं रहता क्या ये क्या बकचोदी करती रहतीं हो यहाँ पर दिनभर  थोड़ा #BengalBurning  पर भी ट्विट करती जा,HOF,PRFN,1
hi_hasoc_2021_3138,@DChaurasia2312 कव्वे देश मैं मौत के जिममेदार मोदी सरकार ही है..!!! #ModiKaVaccineJumla  #ModiGovtSeNaHoPayega  #ModiMustResign,HOF,OFFN,1
hi_hasoc_2021_5999,@ndtvvideos ONCE IN A CENTURY  @narendramodi @PMOIndia  #मनहुस_मोदी का साया मेरे देश के ऊपर से हट जाएगा आर्मी सारा काम संभाल रही है दवाई ऑक्सीजन आदि भी तेरे राजनीति से मुक्त हो जायेगी सभी के अपने अकालमृत्यु मर रहे है  #ResignModi मानवता केलिऐ #Resign_PM_Modi देशभक्त हो तो,HOF,OFFN,1
hi_hasoc_2021_5302,अब कुत्ता बोल रहे हो जिस वक्त आप की पार्टी में थे तब बोलना था। अगर आप की पार्टी में होकर BJP की बेइज्जती करते होते तो आप बोलते की @JitinPrasada जी आप ने जो कहा वो सही कहा। पार्टी छोड़ी तो कुत्ता बोलते हो थोड़ी शर्म करो चमचो।  @GulzebAhmed,HOF,OFFN,1
hi_hasoc_2021_5791,@yadavtejashwi दही तो तुम्हारे मुंह मे भी जमी हुई थी 😠😠 #JusticeForShahabuddin,HOF,OFFN,1
hi_hasoc_2021_4458,@REAL___HINDUVT @DEEPAKRASTOGI55 इनके दो काम बहुत compulsory  है पहला मदरसे में पढ़ना और दूसरा मस्जिद और मदरसा में बम बनाना  वा हथियार छुपाना फिर यही concept  अलग-अलग फील्ड में applied करना क्या चुराया पता नहीं  यह सिर्फ चिल्लाते हैं रंडी टीवी रवीश कुमार के नेतृत्व में 🤔,HOF,HATE,1
hi_hasoc_2021_892,"@umashankarsingh मेरा मत: केंद्र की गद्दी में बैठे महान जुमलेबाज फेकू जनता के हत्यारे को किसी कीमत पर024से आगे नहीं बढ़ने देंगे,अगर जितिन जैसे और कुछ विपक्ष या कांग्रेस के गद्दार दोगला नेता बीजेपी मोदी शाह के हाथो अपने गले में कुत्ते नुमा नारंगी खटमल का पट्टा नहीं पहना तो। @ndtvindia @ABPNews",HOF,OFFN,1
hi_hasoc_2021_5032,@Ravish_sir1 @Jalebi_Bai_ तुम कमीने जैसे लोग योगी के नाम लेने लायक नहीं हो,HOF,OFFN,1
hi_hasoc_2021_5129,"@DrxYusuf @BotsHindi #Islamophobia का डर मुस्लिमो को दिखा के ही अपना आधार बनाया है,उसी के बल पर समाज को तोड़ने को बात करते हैं, आपका नंबर आजतक नही आया तो आगे भी नही आयेगा,मुलामान अब पढ़ाई करने लगा है,उसको बहलाना अब नामुमकिन हो चुका है।",HOF,HATE,1
hi_hasoc_2021_6061,बोहोत अच्छा विश्व गुरू फकीरद्र नाथ का ड़ंका बज रहा है अमेरिका मोदी के साथ जो कर रहा है एक तरफ सही है बोहोती घमंडी है फेंकु घमंड टूटना चाहिए  #ModiKaVaccineJumla #ModiMustResign https://t.co/ScW7gor1x9 https://t.co/inu4guagxw,HOF,HATE,1
hi_hasoc_2021_3731,"@nkrai17 @sk_traza98 बकवास के सिवाय कुछ बस की नही तुम राष्ट्रीय हत्यारो में तेरे उकसाने में नही आने वाला  साले मानसिक नंगे #ModiResign  #ModiKaVaccineJumla अनगिनत हत्याओं के जुर्म में  #आजीवनजेल_जाएगा_तो_मोदी_ही  #आजीवनजेल_जाएगा_तो_मोदी_ही  यकीनन यदि परिजनों में बुजदिली, कायरता न हो",HOF,OFFN,1
hi_hasoc_2021_5820,वैक्सीन पर हायतौबा मचाने वालो की असलियत उन्होंने राज्यों को मिले वेक्सीन की उपयोग तक नहीं किया लेकिन वेक्सीन की रंडी रोना मचा रहे थे https://t.co/xBXvncNyIk,HOF,PRFN,1
hi_hasoc_2021_1121,"@ippatel किसान के नाम पे, हवस के जानवर बैठे है वहा😡😡",HOF,HATE,1
hi_hasoc_2021_5492,"मुझे उससे मोहबत थी सच्ची, पर वो निकली रंडी की बच्ची...",HOF,PRFN,1
hi_hasoc_2021_2304,@Jmm_Mahila मोदी मदरचोद है कुछ नही होगा।।,HOF,PRFN,1
hi_hasoc_2021_4544,@DChaurasia2312 राहुल गांधी और प्रियंका दीदी एक अच्छा स्कीम निकाला है दोगला और गद्दारों का पहचान ऐसे ही होता है,HOF,OFFN,1
hi_hasoc_2021_4579,@AjiteshBansal1 @NayakRagini ये मोहतरमा जिस गाली गलौज और अभद्रता को नारीशक्ति कह रही हैं  सनातन संस्कृति में उसे फूहड़ औरत का नँगापन कहा जाता है....,HOF,PRFN,1
hi_hasoc_2021_4244,गोदी मीडिया और BJP IT Cell फेक न्यूज़ फैलाने में माहिर है!#GodiMedia #BJPITCell #fakenews  #ModisCrimeAgainstIndia #ResignPMmodi  #SpinelessBJP #coronavirus #wednesdaythought #COVID19 #Oxygen4All #BeHuman #OxygenMan #fakenews #coronavirus #COVID19 #BJP #ModiSarkarHiSystemHai https://t.co/QPEwe1FiN8,HOF,HATE,1
hi_hasoc_2021_4292,@Abhijee51353746 @vinodkapri @bainjal यार तू इतना चुटिया है कि अपने ट्वीट खुद ही LIKE कर लेता है🤣 अब तेरे से मैं क्या बहस करू।,HOF,PRFN,1
hi_hasoc_2021_4790,पूरे गुजरात को आग के हवाले कर दिया और आग किसने लगाया सभी जानते हैं किन्तु बहुसंख्यक समुदाय के मूहँ में ताला लगा रहता है किन्तु जैसे ही किसी मुस्लिम की बात आती है तो गिद्ध भी खामियां निकालने पहुँच जाते हैं....  #JusticeForShahabuddin,HOF,HATE,1
hi_hasoc_2021_5179,"@AslamChopdar11 @DrDeependra111 @Rajrm011 जो लोग असलम भाई को गाली दे रहे हैं, वे या तो कुपेन के कुत्ते है या फिर वो हरामी है,  हमें असलम भाई जेसा नेता चाहिए जो कभी दोहरा नकाब नहीं रखता हो",HOF,PRFN,1
hi_hasoc_2021_4697,"आपको थोड़ी शर्म करनी चाहिए, अपने आस-पास देखें। आपकी सरकार की मूर्खता के कारण दूसरी लहर आई।  देशभक्ति तब होती है जब लोग जीवित होते हैं!  The entire BJPee IT cell is utter shameless!  #ArrestPChidambaram #ModiKaVaccineJumla #BjpDestroyedIndia #BJPFailsIndia https://t.co/nlnSO39MYK",HOF,HATE,1
hi_hasoc_2021_4499,@R_Singh_O08rj ये वो जात है जो हर जात का जीना हराम करती है इनके में कुछ हराम नही है बल्कि ये हरामी है साले गन्द के सिवा इनको कुछ नही आता,HOF,HATE,1
hi_hasoc_2021_4906,"बड़ी उम्र की औरत की काम वासना बढ़ती जाती है, और फिर वो बजारु हो जाती है, वो पराये मर्दो के कदमों में नंगी लेट जाती है और पराये मर्द उसे वैश्या की तरह नंगा नचाते हैं, नितम्बो पर मारते हैं। उसके शरीर को अपने मूत्र से नहला कर उसे जलील करते हैं और तब एक बड़े घर की औरत शांत होती है। https://t.co/Se90dGgYFa",HOF,PRFN,1
hi_hasoc_2021_5289,@PawanJa13418467 @arifsiddiqui82 @ActivistVed Right  अब तेजस्वी यादव जैसे दलाल बिहार चुनाव जीत जाने के बावजूद भी   अगर राष्ट्रीय स्वयंसेवक संघ से सौदा कर लेते हैं   और vvpat पर्चियों के मिलान के लिए   कोर्ट में दावा नहीं ठोकते हैं   तो उसके लिए हम क्या कर सकते हैं,HOF,OFFN,1
hi_hasoc_2021_5973,"@anjalideshbhkt गलती उस महिला की है। इससे पहले भी एक महिला के साथ ""आम आदमी पार्टी"" के सड़क छाप जानवर ने रेप किया था। तब इस महिला को समझ नही आया कि बॉर्डर पर किसान नही ""बलात्कारी"" बैठे हैं.?? इस महिला को वहां जाना ही नही चाहिए था।",HOF,OFFN,1
hi_hasoc_2021_4289,@sambitswaraj @JPNadda छूटिया Oxygen Beds Medicine  के बारे में कब tiweet करेगा। #ResignModi,HOF,OFFN,1
