,_id,Text,task_1,task_2,Label
253,60c5d6bf5659ea5e55def1f5,To admit one's mistakes and to give up the power they possess takes immense strength and willpower and these qualities are clearly absent in our Prime Minister and his team. They are so shameless...they would use the PM Private Plane to flee to a different country 🙄 #ResignModi https://t.co/TnNrTirI5k,HOF,HATE,1
2627,60c5d6bf5659ea5e55df0308,@azzizat_lucy Ur Mom is my bloody bitch you must ask her,HOF,PRFN,1
4419,60c5d6bf5659ea5e55defe19,@fuckezr @rezent4 @Rzpidz @T0WNLEY @lBarneY_ @LordNikoz @SpooxKs @t7ango idk probs shag ur mum since thats what other gamers do,HOF,PRFN,1
1954,60c5d6bf5659ea5e55defeb9,People are dying in india. No vaccine or medical supply available. That self obsessed Modiji exported vaccines  and oxygen supply 😰. #ResignModi #IndianLivesMatter #ModiKaVaccineJumla #IndiaFightsCorona,HOF,OFFN,1
874,60c5d6bf5659ea5e55def568,"@CuckJoey i’m so sorry. just wanted you to know that your identity is valid as fuck and don’t let anyone tell you otherwise, sending love💞💞💞💞💞💞",HOF,PRFN,1
4733,60c5d6bf5659ea5e55def7f7,I think seungyoun brings out the whore in everyone he's in contact or influences cause look at me rn https://t.co/SKRkaRuI2Q,HOF,PRFN,1
2581,60c5d6bf5659ea5e55df045a,"After years of wrong doings, evil acts against muslims and kashmiris, fake media reporting, terrorizing farmers, projecting false images of India to the world, its all falling apart now #IndiaCovidCrisis #KashmirNeedsOxygenToo",HOF,HATE,1
4894,60c5d6bf5659ea5e55def7d8,"@narendramodi taxes on O2 imported, from other countries.Not utilising PM cares fund.Constructing new parliament . Don't u know how to rule?get off from the chair.Enough your inefficient rule.. Please hand it over to any educated one.#Resign_PM_Modi #BjpD",HOF,HATE,1
3842,60c5d6bf5659ea5e55df00ee,@DurgaMenon @narendramodi We are very proud to say that we are from Kerala. But same time it is shame to tell to non Indians that we are from Indians. Only because of BJP. #Resign_PM_Modi,HOF,HATE,1
1860,60c5d6bf5659ea5e55defe2e,@jini1871 @Irshan_khan @DrHarjitBhatti Ridiculous that this Modi govt is charging gst taxes on essentials like vaccines during a pandemic! Shameless parasites leeching off the Indian public! #Resign_PM_Modi #ModiHataoDeshBachao #ModiKaVaccineJumla #BJPdestroysDemocracy #BJPHataoDeshBachao,HOF,HATE,1
3333,60c5d6bf5659ea5e55def208,"When someone dies, we always had the liberty to blame God for taking away our dear one ! Now the irony of India is we can't even blame #NarendraModi for his impaired vision . #COVID19 #Resign_PM_Modi",HOF,OFFN,1
1911,60c5d6bf5659ea5e55defe53,I love watching the nut falling out of my pussy and ass 🥰,HOF,PRFN,1
4199,60c5d6bf5659ea5e55defb0f,â€œDamn white people and their dairyâ€ https://t.co/SFkKX5rLdA,HOF,PRFN,1
4544,60c5d6bf5659ea5e55def68e,"#HollyWilloughby really said she feels left out because she got no side effects from the #CovidVaccine What a fucking airhead ðŸ˜¤ bet the ppl who died after it would take her place, stupid bint. #ThisMorning",HOF,PRFN,1
1227,60c5d6bf5659ea5e55def987,just spotted a cheater on the ESEA client... truly unlucky. need to ban this garfield motherfucker....,HOF,PRFN,1
2241,60c5d6bf5659ea5e55df003e,"Fuck pre workout, just piss me off",HOF,PRFN,1
1473,60c5d6bf5659ea5e55defc83,ranboo you incredible son of a bitch you’ve done it again my friend you’ve raised the bar for us all and did so flawlessly,HOF,OFFN,1
4621,60c5d6bf5659ea5e55def644,"I donâ€™t know what was going on at AJ, but I feel poor for him regarding this match , this stained his legacy. He would become the undefeated champion for long time. Wanker Ruiz got a lucky day. ðŸ˜“ https://t.co/PNaRjTLQ6f",HOF,PRFN,1
3030,60c5d6bf5659ea5e55df0409,@BJP4India @narendramodi @drharshvardhan @AshwiniKChoubey @MoHFW_INDIA Such a shameless tweet #Resign_PM_Modi #ModiResign #ModiKaVaccineJumla #ModiFailsIndia https://t.co/gdfM77oQ40,HOF,OFFN,1
3743,60c5d6bf5659ea5e55df005d,"India is one of the worst affected by #COVID19. Health infrastructure is swamped, patients cant find hospital beds , oxygen , test , ambulance &amp; Pharmacies. Many innocent people are dying. Worthless @PMOIndia &amp; his ministry. #ResignModi #OxygenCrisis #VaccineForAll",HOF,HATE,1
482,60c5d6bf5659ea5e55def4c5,@SpokespersonCHN China should apologize to people for unleashing its bio weapon #WuhanVirus,HOF,HATE,1
1695,60c5d6bf5659ea5e55defd0a,@Andysbrett What a load of absolute bollocks. Dont agree with vaccination thats fine. But stop with the conspiracy shite,HOF,OFFN,1
154,60c5d6bf5659ea5e55def199,Just seen my ex fiancé for the first time in like 2 years and all I can say is bullets were dodged. Karma has punched his hairline back a fucker 🤣🤣,HOF,PRFN,1
5073,60c5d6bf5659ea5e55def231,India need to get rid of such citizens ! Now . Itâ€™s a â€”#ChineseVirus thanks to people like u who get paid by enemies to say such filth ? Shame on ur suara https://t.co/pzngEzqpVN,HOF,HATE,1
3986,60c5d6bf5659ea5e55def741,This the meek we need fuck that slow singing shit he be doing,HOF,PRFN,1
2157,60c5d6bf5659ea5e55df0032,@manoramaonline Shame on people who are still supporting  her... including Manorama. keeping MUM #ArrestMamata #BengalBurning  #BengalViolence https://t.co/o7lXp6nYZW,HOF,HATE,1
4362,60c5d6bf5659ea5e55defd7d,@formulaben @PoliticsForAlI They shag sheep!!!! well known fact la,HOF,PRFN,1
1048,60c5d6bf5659ea5e55def9b2,@ballard_curse @ArponBasu Because karma is a bitch. Babs' time had finally come. The wanker. #LGRW,HOF,OFFN,1
2556,60c5d6bf5659ea5e55df0300,"Shitbag talking about a 4 year plan, and giving it the big one about the súper league blah blah fuck him, worst home record in clubs history, dull negative shite, if anyone doesn’t want to be here fuck them https://t.co/eePMmi5TMR",HOF,PRFN,1
183,60c5d6bf5659ea5e55def2ca,This just shows what a twat Southgate is.  Henderson been injured &amp; still not confident on his fitness  YET  JWP has not missed a single minute of the season &amp; doesn't get picked.  No interest in watching the euros at all,HOF,PRFN,1
3905,60c5d6bf5659ea5e55df0097,"@narendramodi See how the foreign donation is changed from pm care to other sources? (Ex: pat cummin's $50000) Other country can see it , still the andh bhakts can't. Modi is ruining our country #ResignModi",HOF,HATE,1
804,60c5d6bf5659ea5e55def694,"@RajeevRai @brajeshlive @sakshijoshii @PMOIndia Is this is what my ""NEW INDIA"" looks..?  Just speechless helpless. No expectations from the D grade villains who's ruling the country. Shameful acts going on from the most corrupted and shameless persons who are governing the country. #ResignPMmodi",HOF,HATE,1
2451,60c5d6bf5659ea5e55df00c9,"@mahdiamput @D_Kumii that son of a bitch promotes agglomeration, refused 11 different vaccines that would be used in Brazil, calls those who are in the donkey quarantine and, on top of that, spent OUR MONEY OF OUR TAXES TO BUY MEAT AND MAKE A BARBECUE WITH HIS FAMILY",HOF,OFFN,1
4584,60c5d6bf5659ea5e55def54a,2 weeks and counting. Stop playing petty Politics #ResignPMmodi https://t.co/GQaPkcwORy,HOF,HATE,1
3482,60c5d6bf5659ea5e55def449,@WarHorizon It's deployed at many places bcoz tmc goons are looting vandalising and raping bjp workers and their families. Even ITBP is getting deployed. Meanwhile state police is not even writing fir!! #ShameOnMamata #MamtaisTerrorist #BengalBurning TMC,HOF,HATE,1
3687,60c5d6bf5659ea5e55defef0,@Feisty_Waters Ok. What did you do to piss off the universe?,HOF,PRFN,1
4874,60c5d6bf5659ea5e55defa26,Box O' Jokes time! - My mom never saw the irony in calling me son-of-a-bitch. - - Box ha and ha and ha!,HOF,PRFN,1
296,60c5d6bf5659ea5e55def3f8,Where are you guys who supported Mamta ? can't you see violence on BJP karyakarta's? Now why your mouth is shut ? Why can't you speak against her ?? Never forget if they are the victim today...Next may be you or your family. #ShameOnTMC #BengalBurning #OpenYourEyes #BengalViolenc,HOF,HATE,1
5088,60c5d6bf5659ea5e55def21c,@koalaXCF gay gay gay trans gay trans gay gay trans trans gay little trans bitch gay gay homo homo thats me the woman enjoyer wowowowow wawaweewa mfw gay,HOF,OFFN,1
1839,60c5d6bf5659ea5e55defddd,Why can't Indian media have such a reporting. Everyone wasting their time on pointless issues. It's time make people accountable for their deeds.   #Resign_PM_Modi   @drharshvardhan @bainjal https://t.co/MRj2Ffk9dD,HOF,HATE,1
3946,60c5d6bf5659ea5e55def7e1,Drop the song you bastard https://t.co/DdqvFFF7zv,HOF,OFFN,1
3334,60c5d6bf5659ea5e55def213,"@GeneralBakshi The CCP Virus came from a Lab in Wuhan, China. China is ResponsibleÂ for the Spread ofÂ Corona VirusÂ Across theÂ World.ðŸŒðŸ¦ It's a Chinese VirusðŸ¤¬ðŸ¦ Fuck You ChinaðŸ–•ðŸ‡¨ðŸ‡³ðŸ–•ðŸ˜¡ðŸ¦ #CKMKB #ChuttadChinesePartyÂ CCP #Chinese",HOF,HATE,1
3104,60c5d6bf5659ea5e55df04a1,@brijmoh36211428 @Captain54672005 @aasadhu @China_Amb_India @narendramodi The hashtag sums it all - #ChinaLiedPeopleDied #ChinaLiedMillionsDied #ChineseVirus #WuhanVirus chinese gift for the world = #COVID19 (irony is that this BS F gift  is real and dang,HOF,OFFN,1
2807,60c5d6bf5659ea5e55df042a,People dying without any medical treatment and oxygen is happening only in India. Shame #ModiKaVaccineJumla,HOF,HATE,1
535,60c5d6bf5659ea5e55def45f,"Shame on center, even shame word will feel shame for comparing with #modi #ResignModi  #ModiMadeDisaster https://t.co/91AurPOtKN",HOF,HATE,1
1833,60c5d6bf5659ea5e55defd41,@Aroucho Ahhh. Now I know why they lost. That shitbag was in the building.  I don't even wanna know if Imgrund and the rest of the paid doomers were in attendance.  Gee. Couldn't give your ticket to a lower wage nurse/psw/staff.. Could ya Dr.?  😒,HOF,PRFN,1
2666,60c5d6bf5659ea5e55df02fa,@Ffs_OMG Bloody hell,HOF,PRFN,1
4861,60c5d6bf5659ea5e55def9a8,@Paddy_Boyland @TheAthleticUK So it is done then? What a shitbag,HOF,OFFN,1
2150,60c5d6bf5659ea5e55deff80,The coolest motherfucker in the room 😍 https://t.co/eNhBV7ii0V,HOF,PRFN,1
1097,60c5d6bf5659ea5e55def988,"That moment in the fucking when your finger is hooked up inside your lover’s pussy, and you’re all but lifting them off the bed by their G-spot and they just keep cumming…  That’s  fun.  Lotta fun.",HOF,PRFN,1
3518,60c5d6bf5659ea5e55def42c,"The man who crowned BJP, is stripping them naked now. He reminds me of Tyrion from GOT. Really sad to see him retire. #prashantkishor #ResignPMmodi ;Will love to see you in Bihar elections. https://t.co/VcWo565ikU",HOF,OFFN,1
2524,60c5d6bf5659ea5e55df02c7,"@Andrea62928413 Sorry to hear you’re having a tough enough time, then some twat makes it worserer ( I’m sure that’s a word) Stay strong Andrea 🙏🏽",HOF,PRFN,1
582,60c5d6bf5659ea5e55def551,He smiled hella hard when I told him what u just said. MissiSsippi Pimp Shit. https://t.co/hBS6kA3vmQ,HOF,PRFN,1
2222,60c5d6bf5659ea5e55df0036,Lindsey Graham is a total shitbag.,HOF,OFFN,1
2514,60c5d6bf5659ea5e55df0372,"@DubhLinn76 @GDeegan6 made a complete cock of himself,  equivalent to Jedward and that wanker with the plastic shopping bag over his head",HOF,PRFN,1
4463,60c5d6bf5659ea5e55defd07,@LordOfSeaAndSky Did you get the old bastard 1 or the young gun 1ðŸ˜¬,HOF,PRFN,1
2090,60c5d6bf5659ea5e55deffa3,@rajnathsingh Bjp has failed the nation. Modi has failed the nation. Biggest scam of history is PM care fund. @narendramodi @RahulGandhi #ModiKaVaccineJumla #ModiMustResign #ModiResignOrRepeal #ModiMadeDisaster #ModiGovtSeNaHoPayega,HOF,HATE,1
4563,60c5d6bf5659ea5e55def5d2,@IndigenousX fuck that must both hurt and piss you off. so direspectful,HOF,PRFN,1
2056,60c5d6bf5659ea5e55deff09,Period bussy the house down sissy slay cunt boots pow ! https://t.co/lBABqnTg4n,HOF,PRFN,1
1159,60c5d6bf5659ea5e55def6ed,"Idiots who were supportin CAA,atleast nw u should hve understood dat giving citizenship to outsiders when our own basic Infra is insufficient for Indians is such a huge mistake. CAA is done only for extra voter Base nothing else. #CAA #ExitModi #indianeedoxygen #IndiaCovidCrisis",HOF,HATE,1
3313,60c5d6bf5659ea5e55def24f,"@narendramodi ji you not only lost the elections today, you have lost lakhs of honest followers like me. Shame on you for letting us all down for your petty politics &amp; power. Hope you learn and shine. Listen to experts and be a good man. #NoVoteToModi",HOF,OFFN,1
1739,60c5d6bf5659ea5e55defe0f,Kangana did a terrible mistake of pointing the mistakes of supreme leader !! Betrayal &amp; exposing Gujarat CM is not acceptable in BJP..  #ResignModi https://t.co/wq5hAHxiwh,HOF,HATE,1
3835,60c5d6bf5659ea5e55df01d5,#TuckerCarlson is a dangerous fool! #DrSanjayGupta Sets the record straight about the #COVIDVaccine and Tucker's lies. https://t.co/bTEnewHBI2,HOF,HATE,1
2151,60c5d6bf5659ea5e55deff84,#FarmLaws_NextPandemic It’s complete failure of Indian govt! People are dying in streets ! They cannot hide behind system ! They are responsible for this ! They have no right to stay in office !!! #FarmLaws_NextPandemic #ModiKaVaccineJumla https://t.co/OfLGR4WCVE,HOF,HATE,1
3778,60c5d6bf5659ea5e55df0192,"Trust me...if I like you I will dm you â€œheyâ€ six times, then send 4 dick pics before getting very impatient for you to love me. Itâ€™s gonna be beautiful. ðŸ¥°ðŸ¥°",HOF,PRFN,1
4550,60c5d6bf5659ea5e55def5d5,"He was very quick. Not enough to get me to aggy, BUT I wouldâ€™ve yelled at his dumb ass. â€œCome on dick head with those dumb ass dances, do that stupid shit at your house or somethingâ€ You know, keep it simple lol https://t.co/Fbt9W5Ghid",HOF,PRFN,1
2515,60c5d6bf5659ea5e55df038d,False promises and utter lies @vijayrupanibjp @PMOIndia @AmitShah You are failed #indianpolitics. #nooxygen #IndiaNeedsOxygen #IndiaCovidCrisis #gujaratgovernment,HOF,OFFN,1
4646,60c5d6bf5659ea5e55defaab,"History will always remember that Modi made the entire country a cremation ground to win just one state. He is a minister of only BJP party not a pm of india ,so resigned from the post of my country, you are a murderer of lots of people #ResignPMmodi",HOF,HATE,1
412,60c5d6bf5659ea5e55def30b,#cancel12thboardexams2021 #Resign_PM_Modi  @PMOIndia   Because of your overconfidence and ignorance hundreds of indian citizens are dying everyday and now you are ignoring lakhs of student's daily plea to cancel exam... https://t.co/GvDMCF3Ozf,HOF,OFFN,1
3792,60c5d6bf5659ea5e55df00a5,@jamesouttapkt @_dutchjordi @SHGames @anniepartick @LifeAtSHG Iâ€™m not a troll pussy,HOF,PRFN,1
700,60c5d6bf5659ea5e55def590,@popy_1 Is this a good done or a fuck off done?,HOF,PRFN,1
2107,60c5d6bf5659ea5e55deff8e,#ModiKaVaccineJumla  #RahulGandhi has not taken vaccination till now and is creating fear in people to step back to take vaccination.   Be a responsible leader first.,HOF,OFFN,1
313,60c5d6bf5659ea5e55def429,@DarrenMaggs Bastard. You can tell him that.,HOF,PRFN,1
2149,60c5d6bf5659ea5e55deff76,@narendramodi Go मोदी go. Ur sitting on pile of bodies of innocent ppl who trusted u. Ur an embarrassment to the nation. @BJP4India @RSSorg #ResignPMmodi #AmitShah,HOF,OFFN,1
1087,60c5d6bf5659ea5e55def8ec,"Dear World,  Religion is like a penis  It's fine to have one and fine to be proud of, but please don't whip it out in public and start waving it around... and PLEASE don't try to shove it down my throat  Sincerely, tired of hearing your religious guff😡  #Islamophobia #Sickularis",HOF,HATE,1
225,60c5d6bf5659ea5e55def28c,@JohnMayer You son of a bitch,HOF,PRFN,1
3475,60c5d6bf5659ea5e55def487,"@jeremynewberger @royaleight Notably, though, the list does not include Jason Miller's hooker's publisher. Jason may be going through some things.",HOF,PRFN,1
2539,60c5d6bf5659ea5e55df03a5,5 at the back scum cunt 4 right backs and 4 centre backs balding fuck going out in the round of 16,HOF,PRFN,1
583,60c5d6bf5659ea5e55def55b,i've come to make an announcement: shadow the hedgehog is a bitch ass motherfucker.,HOF,PRFN,1
4800,60c5d6bf5659ea5e55def8a1,Why is Johnson trying to make us all American? The twat.,HOF,PRFN,1
795,60c5d6bf5659ea5e55def5cf,@KekkanOkami ❝I'd better be.❞  Chuuya said playfully. He leaned his head against them once again and shifted a little closer.    ❝I'd hate to bloody my knuckles on some background bastard getting too touchy with my fluffy.❞,HOF,PRFN,1
138,60c5d6bf5659ea5e55def187,Alright which fucker pqrted this https://t.co/qDI8VpqaW5,HOF,PRFN,1
3968,60c5d6bf5659ea5e55def7da,@amitsurg You know that story of father son and donkey. These liberals are like those villagers in the story,HOF,HATE,1
